@relation InstanceResultListener

@attribute Key_Dataset {letter}
@attribute Key_Run {1,2,3}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.meta.AdaBoostM1,weka.classifiers.lazy.IBk,weka.classifiers.functions.SMO,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-U -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -U -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-L 0.3 -M 0.2 -N 200 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 300 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 400 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {-217733168393644444,-1178107808933117974,-3080186098777067172,-6585883636378691736,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 991\nSize of the tree: 1981\n','Number of leaves: 956\nSize of the tree: 1911\n','Number of leaves: 990\nSize of the tree: 1979\n','Number of leaves: 1070\nSize of the tree: 2139\n','Number of leaves: 1059\nSize of the tree: 2117\n','Number of leaves: 1087\nSize of the tree: 2173\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

letter,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170202.0053,13999,6001,5169,832,0,86.135644,13.864356,0,0.855806,0.011934,0.095989,16.135903,49.915372,28203.570955,617548.855806,-589345.284852,4.699812,102.907658,-98.207846,24468.941104,4.077477,520636.474127,0.966245,229,0.003817,22,0.996183,5742,0.033755,8,0.912351,0.966245,0.938525,0.93634,0.984171,0.926349,0.861356,0.005536,0.994464,0.138644,0.863159,0.861356,0.86154,0.856394,0.948236,0.819954,0.861189,0.861356,1.057,0.033,0.853811,0.031147,853.811,31.147,1315095,2312096,992426,89.518414,4.783177,'Number of leaves: 991\nSize of the tree: 1981\n',1981,991,991
letter,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170202.0053,14000,6000,5229,771,0,87.15,12.85,0,0.866355,0.01156,0.093646,15.629156,48.696616,28198.836429,589602.458775,-561403.622346,4.699806,98.267076,-93.56727,24615.012779,4.102502,523744.234707,0.940928,223,0.001909,11,0.998091,5752,0.059072,14,0.952991,0.940928,0.946921,0.944774,0.971598,0.903866,0.8715,0.005126,0.994874,0.1285,0.873337,0.8715,0.871829,0.867026,0.950076,0.824662,0.871303,0.8715,0.978,0.024,0.923866,0.023702,923.866,23.702,1268755,2312261,992261,89.95,4.926923,'Number of leaves: 956\nSize of the tree: 1911\n',1911,956,956
letter,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170202.0053,14002,5998,5243,755,0,87.412471,12.587529,0,0.869083,0.011169,0.092591,15.101446,48.147956,28189.388742,595906.265073,-567716.876331,4.699798,99.350828,-94.65103,24693.176786,4.116902,525406.988908,0.970464,230,0.002951,17,0.997049,5744,0.029536,7,0.931174,0.970464,0.950413,0.948549,0.98387,0.907616,0.874125,0.00503,0.99497,0.125875,0.875427,0.874125,0.874186,0.869483,0.949974,0.823546,0.873767,0.874125,0.645,0.023,0.631923,0.022763,631.923,22.763,1313771,2312591,991931,90.113371,5.051684,'Number of leaves: 990\nSize of the tree: 1979\n',1979,990,990
letter,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170202.0053,13999,6001,5169,832,0,86.135644,13.864356,0,0.855807,0.011607,0.095614,15.693059,49.720358,28203.570955,643103.540564,-614899.969609,4.699812,107.166062,-102.466251,24538.895576,4.089134,522124.926363,0.966245,229,0.00347,20,0.99653,5744,0.033755,8,0.919679,0.966245,0.942387,0.940268,0.982188,0.927116,0.861356,0.005532,0.994468,0.138644,0.863406,0.861356,0.86166,0.856516,0.946968,0.822281,0.86131,0.861356,0.849,0.025,0.812724,0.024881,812.724,24.881,1419691,2312096,992426,89.518414,4.668453,'Number of leaves: 1070\nSize of the tree: 2139\n',2139,1070,1070
letter,2,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170202.0053,14000,6000,5223,777,0,87.05,12.95,0,0.865314,0.011213,0.093633,15.16108,48.690127,28198.836429,613037.519262,-584838.682833,4.699806,102.17292,-97.473114,24671.272953,4.111879,524941.306673,0.940928,223,0.001909,11,0.998091,5752,0.059072,14,0.952991,0.940928,0.946921,0.944774,0.971598,0.903866,0.8705,0.005167,0.994833,0.1295,0.872444,0.8705,0.87085,0.866025,0.94916,0.826122,0.870298,0.8705,0.875,0.024,0.819723,0.023814,819.723,23.814,1405127,2312261,992261,89.766667,4.648077,'Number of leaves: 1059\nSize of the tree: 2117\n',2117,1059,1059
letter,3,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170202.0053,14002,5998,5226,772,0,87.129043,12.870957,0,0.866136,0.011009,0.093386,14.885152,48.561577,28189.388742,640802.759576,-612613.370834,4.699798,106.836072,-102.136274,24683.755548,4.115331,525206.529326,0.970464,230,0.003124,18,0.996876,5743,0.029536,7,0.927419,0.970464,0.948454,0.946547,0.983835,0.903428,0.87129,0.005141,0.994859,0.12871,0.872684,0.87129,0.871353,0.866562,0.946949,0.818695,0.870917,0.87129,0.68,0.033,0.668892,0.031276,668.892,31.276,1442199,2312591,991931,89.563188,4.626542,'Number of leaves: 1087\nSize of the tree: 2173\n',2173,1087,1087
letter,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170202.0053,13999,6001,5669,332,0,94.467589,5.532411,0,0.942461,0.004299,0.059805,5.812129,31.099208,28203.570955,3232.536584,24971.034371,4.699812,0.538666,4.161146,26821.063589,4.469432,570683.623781,0.983122,233,0.000347,2,0.999653,5762,0.016878,4,0.991489,0.983122,0.987288,0.986777,0.999857,0.997694,0.944676,0.002207,0.997793,0.055324,0.945094,0.944676,0.944742,0.942613,0.997978,0.980757,0.944544,0.944676,7.763,0.192,7.630001,0.191743,7630.001,191.743,13022979,2312096,992426,96.333944,4.140977,?,?,?,?
letter,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170202.0053,14000,6000,5702,298,0,95.033333,4.966667,0,0.948345,0.003977,0.056808,5.376934,29.540533,28198.836429,2845.133114,25353.703315,4.699806,0.474189,4.225617,26942.412234,4.490402,573265.315906,1,237,0.000694,4,0.999306,5759,0,0,0.983402,1,0.991632,0.991322,0.99998,0.999498,0.950333,0.001979,0.998021,0.049667,0.950735,0.950333,0.950415,0.948503,0.998422,0.9838,0.950118,0.950333,7.455,0.195,7.246705,0.190496,7246.705,190.496,12962075,2312261,992261,96.716667,4.172436,?,?,?,?
letter,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170202.0053,14002,5998,5673,325,0,94.581527,5.418473,0,0.943646,0.004294,0.059941,5.805951,31.169922,28189.388742,3007.850419,25181.538323,4.699798,0.501476,4.198322,26802.168326,4.468518,570280.878759,0.995781,236,0.000694,4,0.999306,5757,0.004219,1,0.983333,0.995781,0.989518,0.989105,0.99998,0.999528,0.945815,0.002162,0.997838,0.054185,0.946256,0.945815,0.945882,0.943804,0.99837,0.983144,0.945683,0.945815,7.171,0.194,7.114798,0.19355,7114.798,193.55,13106391,2312591,991931,96.265422,4.152025,?,?,?,?
