@relation InstanceResultListener

@attribute Key_Dataset {krkopt}
@attribute Key_Run {1,2,3}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.meta.AdaBoostM1,weka.classifiers.lazy.IBk,weka.classifiers.functions.SMO,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-U -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -U -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-L 0.3 -M 0.2 -N 200 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 300 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 400 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {-217733168393644444,-1178107808933117974,-3080186098777067172,-6585883636378691736,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 3710\nSize of the tree: 6449\n','Number of leaves: 3783\nSize of the tree: 6577\n','Number of leaves: 3883\nSize of the tree: 6759\n','Number of leaves: 4579\nSize of the tree: 7905\n','Number of leaves: 4556\nSize of the tree: 7895\n','Number of leaves: 4676\nSize of the tree: 8105\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

krkopt,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170131.2054,19636,8420,5420,3000,0,64.370546,35.629454,0,0.601671,0.044783,0.175589,44.99724,78.712916,29519.299695,1474560.010373,-1445040.710678,3.505855,175.125892,-171.620037,19036.394569,2.260854,543114.721161,0.612634,514,0.053555,406,0.946445,7175,0.387366,325,0.558696,0.612634,0.584423,0.536776,0.880171,0.541656,0.643705,0.042137,0.957863,0.356295,0.643201,0.643705,0.642631,0.601659,0.884411,0.606629,0.602295,0.643705,2.425,0.024,2.357452,0.023807,2357.452,23.807,3291572,1671350,717990,83.491686,11.155318,'Number of leaves: 3710\nSize of the tree: 6449\n',6449,3710,3710
krkopt,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170131.2054,19642,8414,5475,2939,0,65.070121,34.929879,0,0.609652,0.04435,0.174455,44.563596,78.210324,29477.214951,1512939.431534,-1483462.216583,3.503353,179.81215,-176.308797,19237.626864,2.286383,548688.253158,0.628129,527,0.058482,443,0.941518,7132,0.371871,312,0.543299,0.628129,0.582642,0.534428,0.87092,0.52284,0.650701,0.040838,0.959162,0.349299,0.652205,0.650701,0.650456,0.61062,0.884084,0.612343,0.597816,0.650701,2.178,0.023,2.112853,0.023157,2112.853,23.157,3356764,1671860,717480,82.968861,10.933497,'Number of leaves: 3783\nSize of the tree: 6577\n',6577,3783,3783
krkopt,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20170131.2054,19637,8419,5469,2950,0,64.960209,35.039791,0,0.608424,0.04408,0.174667,44.291505,78.301317,29506.173224,1522560.155603,-1493053.982379,3.504712,180.8481,-177.343388,19219.422455,2.282863,548260.083697,0.667461,560,0.056332,427,0.943668,7153,0.332539,279,0.567376,0.667461,0.613363,0.569032,0.889416,0.579028,0.649602,0.040832,0.959168,0.350398,0.650365,0.649602,0.64882,0.609147,0.883199,0.608954,0.632154,0.649602,2.124,0.024,2.064848,0.024247,2064.848,24.247,3449064,1671435,717905,82.990854,10.862335,'Number of leaves: 3883\nSize of the tree: 6759\n',6759,3883,3883
krkopt,1,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170131.2054,19636,8420,5414,3006,0,64.299287,35.700713,0,0.601121,0.043404,0.177352,43.611902,79.503261,29519.299695,1769786.702824,-1740267.403129,3.505855,210.188445,-206.682589,19142.791699,2.273491,546150.26694,0.607867,510,0.054214,411,0.945786,7170,0.392133,329,0.553746,0.607867,0.579545,0.531312,0.862319,0.525171,0.642993,0.041793,0.958207,0.357007,0.643832,0.642993,0.642827,0.601757,0.872333,0.593201,0.617499,0.642993,2.22,0.027,2.188744,0.026349,2188.744,26.349,4037148,1671350,717990,80.332542,9.711006,'Number of leaves: 4579\nSize of the tree: 7905\n',7905,4579,4579
krkopt,2,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170131.2054,19642,8414,5443,2971,0,64.689803,35.310197,0,0.605565,0.04312,0.176108,43.328613,78.951123,29477.214951,1762164.243948,-1732687.028996,3.503353,209.432404,-205.92905,19317.302612,2.295852,550960.734431,0.648391,544,0.059934,454,0.940066,7121,0.351609,295,0.54509,0.648391,0.59227,0.545302,0.85957,0.509392,0.646898,0.041279,0.958721,0.353102,0.649179,0.646898,0.64719,0.606632,0.873687,0.600446,0.619516,0.646898,2.235,0.026,2.186691,0.025847,2186.691,25.847,4030256,1671860,717480,80.354172,9.706045,'Number of leaves: 4556\nSize of the tree: 7895\n',7895,4556,4556
krkopt,3,weka.classifiers.trees.J48,'-U -M 2',-217733168393644444,20170131.2054,19637,8419,5454,2965,0,64.782041,35.217959,0,0.606651,0.042829,0.176271,43.034329,79.020331,29506.173224,1799616.932003,-1770110.758779,3.504712,213.756614,-210.251902,19312.956041,2.293973,550928.256053,0.661502,555,0.05343,405,0.94657,7175,0.338498,284,0.578125,0.661502,0.617009,0.573053,0.871317,0.550741,0.64782,0.040989,0.959011,0.35218,0.648577,0.64782,0.6475,0.607121,0.871576,0.595505,0.638076,0.64782,1.868,0.027,1.819246,0.025716,1819.246,25.716,4137236,1671435,717905,80.057014,9.617796,'Number of leaves: 4676\nSize of the tree: 8105\n',8105,4676,4676
krkopt,1,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170131.2055,19636,8420,5787,2633,0,68.729216,31.270784,0,0.650769,0.037971,0.168601,38.152411,75.580471,29519.299695,16999.457673,12519.842022,3.505855,2.018938,1.486917,20104.337894,2.387689,573583.502349,0.630513,529,0.037726,286,0.962274,7295,0.369487,310,0.64908,0.630513,0.639661,0.600502,0.933528,0.632499,0.687292,0.036166,0.963834,0.312708,0.687357,0.687292,0.68712,0.651256,0.923582,0.711285,0.669753,0.687292,17.43,0.172,16.716329,0.171465,16716.329,171.465,34404204,1671350,717990,84.928741,12.395091,?,?,?,?
krkopt,2,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170131.2055,19642,8414,5817,2597,0,69.134775,30.865225,0,0.655449,0.037793,0.169143,37.975423,75.828988,29477.214951,17272.421738,12204.793214,3.503353,2.052819,1.450534,20165.096604,2.396612,575141.191202,0.646007,542,0.042376,321,0.957624,7254,0.353993,297,0.628042,0.646007,0.636898,0.596123,0.926493,0.618234,0.691348,0.035295,0.964705,0.308652,0.692076,0.691348,0.691325,0.656126,0.923193,0.712483,0.658068,0.691348,14.784,0.198,14.524355,0.181047,14524.355,181.047,34370376,1671860,717480,83.931543,11.840055,?,?,?,?
krkopt,3,weka.classifiers.meta.AdaBoostM1,'-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1178107808933117974,20170131.2055,19637,8419,5859,2560,0,69.592588,30.407412,0,0.660395,0.036941,0.16717,37.117967,74.940353,29506.173224,16955.914871,12550.258353,3.504712,2.014006,1.490707,20345.697222,2.416641,580388.598447,0.651967,547,0.038522,292,0.961478,7288,0.348033,292,0.651967,0.651967,0.651967,0.613444,0.937963,0.665597,0.695926,0.035072,0.964928,0.304074,0.695905,0.695926,0.695567,0.660879,0.925517,0.719616,0.670269,0.695926,18.292,0.201,17.633922,0.19859,17633.922,198.59,34277776,1671435,717905,84.677515,11.565111,?,?,?,?
