
Randomized Hill Climbing
---------------------------------
RHC: avg, best
121.28,131.0
SA: temp, cool, avg, best
1.0E10,0.8,145.16,149.0
1.0E10,0.85,144.98,148.0
1.0E10,0.9,145.36,148.0
1.0E10,0.95,145.6,148.0
1.0E11,0.8,145.32,148.0
1.0E11,0.85,145.42,148.0
1.0E11,0.9,145.18,149.0
1.0E11,0.95,145.32,149.0
1.0E12,0.8,145.28,148.0
1.0E12,0.85,145.34,148.0
1.0E12,0.9,145.18,148.0
1.0E12,0.95,145.4,148.0
1.0E13,0.8,145.5,148.0
1.0E13,0.85,145.22,148.0
1.0E13,0.9,145.08,148.0
1.0E13,0.95,144.96,149.0
1.0E14,0.8,145.66,148.0
1.0E14,0.85,145.16,148.0
1.0E14,0.9,145.34,149.0
1.0E14,0.95,145.06,149.0

Genetic Algorithm
---------------------------------
GA,MA,MU,avg,best
10,3,88.46,117.0
10,6,74.32,93.0
10,9,75.88,98.0
10,12,74.4,85.0
10,15,74.6,95.0
20,3,116.86,125.0
20,6,114.36,123.0
20,9,110.12,122.0
20,12,101.26,119.0
20,15,89.9,117.0
30,3,116.98,127.0
30,6,120.62,127.0
30,9,119.12,130.0
30,12,118.3,128.0
30,15,116.58,125.0
40,3,118.18,125.0
40,6,119.86,130.0
40,9,121.24,130.0
40,12,120.56,127.0
40,15,120.04,130.0
50,3,118.52,128.0
50,6,121.24,134.0
50,9,122.62,133.0
50,12,123.5,130.0
50,15,122.2,128.0
60,3,117.94,128.0
60,6,121.56,131.0
60,9,123.14,130.0
60,12,123.9,133.0
60,15,124.64,133.0

MIMIC 
---------------------------------
MI,samples,keep,avg,best
100,20,134.18,141.0
100,40,126.6,134.0
100,60,126.22,134.0
100,80,120.6,129.0
150,20,135.8,142.0
150,40,127.92,133.0
150,60,129.36,136.0
150,80,127.12,133.0
200,20,135.64,142.0
200,40,128.78,135.0
200,60,130.82,137.0
200,80,129.42,135.0
250,20,135.74,143.0
250,40,129.7,136.0
250,60,131.38,138.0
250,80,130.74,137.0
