@relation spambase_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A58-N200-T1.0E-4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Source_38 numeric
@attribute Source_39 numeric
@attribute Source_40 numeric
@attribute Source_41 numeric
@attribute Source_42 numeric
@attribute Source_43 numeric
@attribute Source_44 numeric
@attribute Source_45 numeric
@attribute Source_46 numeric
@attribute Source_47 numeric
@attribute Source_48 numeric
@attribute Source_49 numeric
@attribute Source_50 numeric
@attribute Source_51 numeric
@attribute Source_52 numeric
@attribute Source_53 numeric
@attribute Source_54 numeric
@attribute Source_55 numeric
@attribute Source_56 numeric
@attribute Class {1,0}

@data
-0.013078,0.000184,0.025525,0.029372,-0.008283,0.04375,-0.024908,0.012704,0.000007,-0.008402,0.015875,-0.005029,0.045778,0.0146,0.007835,-0.030361,0.00656,-0.006027,-0.007767,-0.04076,0.006082,-0.001279,-0.03393,-0.006492,-0.015948,-0.025862,-0.003051,0.01478,0.026413,-0.02562,0.024133,0.012937,-0.013747,0.032138,0.031351,0.002184,-0.024849,-0.014952,-0.000435,-0.004037,-0.006325,-0.002294,-0.034542,-0.005146,-0.014922,0.00641,0.011058,-0.004846,0.033055,0.021658,0.025597,0.006581,0.022842,-0.00181,0.012365,-0.000574,0.006131,0
-0.603053,0.243403,1.108859,1.667847,-0.009667,2.023012,-0.966549,0.596997,0.217991,-0.031851,0.298247,-0.535465,1.862848,0.247188,0.234346,-1.325332,0.410566,-0.490119,-0.056857,-1.693107,0.209982,0.078876,-1.414902,0.101833,-0.70527,-1.093347,-0.112767,0.673931,1.174489,-0.88006,0.88874,0.615227,-0.66874,1.641646,1.383667,0.006348,-1.391302,-0.586245,0.001851,-0.12822,-0.103973,-0.272868,-1.729752,-0.553958,-0.628412,0.071505,0.656391,-0.072152,1.331153,1.111645,1.013714,0.296577,1.068959,-0.125527,0.540043,0.056874,0.303087,0
-0.191795,0.073276,0.349548,0.524227,-0.000623,0.634834,-0.305883,0.186295,0.066033,-0.011067,0.100768,-0.164136,0.586939,0.079586,0.077357,-0.417806,0.125368,-0.16083,-0.016737,-0.53795,0.066657,0.020191,-0.44534,0.029719,-0.215511,-0.342549,-0.035997,0.21584,0.378798,-0.277048,0.274254,0.203778,-0.21602,0.522578,0.441205,0.003418,-0.44216,-0.197232,0.004673,-0.043184,-0.030501,-0.080541,-0.54509,-0.171252,-0.203954,0.026403,0.215332,-0.026917,0.425541,0.353164,0.322881,0.088744,0.345735,-0.034637,0.170105,0.012571,0.090722,0
-6.613704,2.600768,11.990767,18.092422,0.033545,21.979729,-10.527596,6.450836,2.427864,-0.419719,3.247136,-5.833538,20.147236,2.738468,2.55777,-14.359004,4.492824,-5.389524,-0.606779,-18.422849,2.314348,0.838376,-15.314959,1.020078,-7.560421,-11.821424,-1.254881,7.316532,12.723447,-9.518084,9.524035,6.81786,-7.276411,17.828167,15.053169,0.085963,-15.118398,-6.339683,-0.034254,-1.378536,-1.118401,-2.975097,-18.790412,-5.987293,-6.933809,0.847283,7.148206,-0.708785,14.42068,12.039282,10.973061,3.168476,11.655256,-1.376783,5.867894,0.580119,3.232212,0
-0.146015,0.097714,0.314615,0.484479,0.008907,0.579242,-0.261687,0.177033,0.06909,-0.013573,0.064461,-0.149744,0.514781,0.060182,0.087322,-0.352844,0.121317,-0.153587,-0.020747,-0.441906,0.053678,-0.008674,-0.374909,0.036065,-0.19452,-0.327496,-0.036683,0.207785,0.286237,-0.280177,0.236269,0.148275,-0.195271,0.422243,0.378394,0.00682,-0.373388,-0.148026,0.01298,-0.019477,-0.002931,-0.082365,-0.444644,-0.178997,-0.192674,0.043673,0.165197,-0.01899,0.388518,0.292595,0.294086,0.09714,0.278948,-0.033807,0.138918,0.046096,0.03839,0
-0.557262,0.210782,1.00514,1.535218,0.021857,1.818306,-0.877262,0.548577,0.215864,-0.051582,0.286746,-0.480891,1.692511,0.210913,0.204029,-1.206918,0.382899,-0.456584,-0.071515,-1.559302,0.193864,0.03443,-1.287989,0.076728,-0.640429,-0.974177,-0.126733,0.614443,1.06047,-0.783247,0.81168,0.611374,-0.590014,1.508354,1.290708,0.0095,-1.265835,-0.506857,0.02656,-0.099671,-0.110409,-0.26298,-1.578787,-0.521714,-0.58572,0.056049,0.60432,-0.065784,1.193331,0.990268,0.8921,0.263892,0.961256,-0.139728,0.497576,0.0646,0.277364,1
-6.744449,2.636392,12.226597,18.456037,0.055483,22.496486,-10.73817,6.614603,2.459189,-0.426387,3.295307,-5.995951,20.55761,2.718395,2.580089,-14.650421,4.611784,-5.500923,-0.651079,-18.782258,2.32378,0.872091,-15.660324,1.008503,-7.746661,-12.072024,-1.290088,7.464469,12.983981,-9.692305,9.743776,7.000113,-7.449829,18.216463,15.372981,0.070658,-15.486495,-6.421203,-0.043394,-1.450016,-1.130156,-2.99461,-19.184936,-6.14735,-7.065878,0.880918,7.296933,-0.741806,14.754277,12.326195,11.245227,3.22465,11.908728,-1.39329,5.986501,0.613935,3.33987,1
0.021126,-0.006515,0.081291,0.092288,-0.008478,0.117299,-0.031604,0.015606,0.030739,-0.011493,0.023657,-0.014986,0.135189,0.023207,-0.000387,-0.04306,0.048635,-0.02608,-0.008822,-0.088874,0.028321,0.002772,-0.073333,0.020383,-0.063888,-0.056347,0.001996,0.009816,0.065838,-0.030924,0.038486,0.038302,-0.020694,0.050253,0.070991,0.006541,-0.084932,-0.055205,0.022165,-0.023515,0.052539,0.005112,-0.146517,-0.0284,-0.051022,0.012602,0.019543,0.025389,0.05152,0.092241,0.048469,-0.003805,0.051929,-0.023715,0.068355,0.012011,0.037422,0
-0.174378,0.064542,0.317954,0.486843,-0.00902,0.585021,-0.278123,0.160723,0.052022,0.000361,0.077318,-0.147465,0.531038,0.064901,0.072973,-0.385592,0.12406,-0.123882,-0.003762,-0.490099,0.083545,0.038028,-0.409473,0.032173,-0.20089,-0.303862,-0.020523,0.196574,0.333491,-0.2636,0.269791,0.197563,-0.205856,0.464456,0.405196,-0.003405,-0.410757,-0.162122,-0.012272,-0.042803,-0.033465,-0.045195,-0.500303,-0.171223,-0.175454,0.001301,0.193216,-0.020049,0.385972,0.319987,0.28997,0.08796,0.317041,-0.025061,0.158636,0.007514,0.089122,0
-0.341188,0.140349,0.633186,0.948146,0.002409,1.158405,-0.560595,0.343571,0.133212,-0.020736,0.176882,-0.297418,1.043434,0.154581,0.141487,-0.756819,0.221417,-0.2823,-0.029827,-0.951677,0.13034,0.049193,-0.802455,0.041533,-0.387635,-0.62084,-0.0632,0.398792,0.665242,-0.501974,0.497558,0.365654,-0.378211,0.926049,0.792383,-0.009116,-0.787809,-0.327435,-0.004292,-0.071089,-0.053377,-0.143667,-0.982211,-0.319981,-0.362441,0.054352,0.373388,-0.033167,0.755353,0.640062,0.562521,0.178513,0.614413,-0.07671,0.305029,0.033148,0.169282,0
