@relation krkopt-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N4-R202-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}

@data
0,0,1.732051,-5.196152,draw
-1.732051,-1.732051,1.732051,-3.464102,draw
0,-1.732051,0,-3.464102,draw
0,-1.732051,1.732051,-3.464102,draw
-1.732051,0,0,-5.196152,draw
-1.732051,0,3.464102,-5.196152,draw
0,0,0,-5.196152,draw
0,0,1.732051,-5.196152,draw
0,0,3.464102,-5.196152,draw
-1.732051,1.732051,1.732051,-6.928203,draw
0,1.732051,1.732051,-6.928203,draw
0,1.732051,3.464102,-6.928203,draw
0,1.732051,5.196152,-6.928203,draw
0,3.464102,3.464102,-8.660254,draw
-1.732051,-1.732051,1.732051,-3.464102,draw
-1.732051,-1.732051,3.464102,-3.464102,draw
0,-1.732051,3.464102,-3.464102,draw
-1.732051,1.732051,1.732051,-1.732051,draw
-1.732051,1.732051,3.464102,-1.732051,draw
-1.732051,0,1.732051,-5.196152,draw
-1.732051,0,3.464102,-5.196152,draw
-1.732051,0,5.196152,-5.196152,draw
0,0,1.732051,-5.196152,draw
0,0,5.196152,-5.196152,draw
-1.732051,3.464102,1.732051,-3.464102,draw
-1.732051,3.464102,3.464102,-3.464102,draw
-1.732051,3.464102,5.196152,-3.464102,draw
-1.732051,1.732051,3.464102,-6.928203,draw
-1.732051,1.732051,5.196152,-6.928203,draw
0,1.732051,3.464102,-6.928203,draw
0,1.732051,6.928203,-6.928203,draw
-1.732051,5.196152,3.464102,-5.196152,draw
-1.732051,5.196152,5.196152,-5.196152,draw
-1.732051,5.196152,6.928203,-5.196152,draw
-1.732051,3.464102,5.196152,-8.660254,draw
0,3.464102,5.196152,-8.660254,draw
-1.732051,6.928203,5.196152,-6.928203,draw
-1.732051,6.928203,6.928203,-6.928203,draw
-1.732051,6.928203,8.660254,-6.928203,draw
-1.732051,8.660254,6.928203,-8.660254,draw
0,-1.732051,1.732051,-1.732051,draw
0,-1.732051,3.464102,-1.732051,draw
-1.732051,1.732051,3.464102,0,draw
-1.732051,0,3.464102,-3.464102,draw
-1.732051,0,5.196152,-3.464102,draw
0,0,1.732051,-3.464102,draw
0,0,3.464102,-3.464102,draw
0,0,5.196152,-3.464102,draw
-1.732051,3.464102,1.732051,-1.732051,draw
-1.732051,3.464102,5.196152,-1.732051,draw
-1.732051,1.732051,3.464102,-5.196152,draw
-1.732051,1.732051,5.196152,-5.196152,draw
-1.732051,1.732051,6.928203,-5.196152,draw
0,1.732051,3.464102,-5.196152,draw
0,1.732051,5.196152,-5.196152,draw
0,1.732051,6.928203,-5.196152,draw
-1.732051,5.196152,3.464102,-3.464102,draw
-1.732051,5.196152,6.928203,-3.464102,draw
-1.732051,3.464102,5.196152,-6.928203,draw
-1.732051,3.464102,6.928203,-6.928203,draw
-1.732051,3.464102,8.660254,-6.928203,draw
0,3.464102,5.196152,-6.928203,draw
0,3.464102,6.928203,-6.928203,draw
-1.732051,6.928203,5.196152,-5.196152,draw
-1.732051,6.928203,8.660254,-5.196152,draw
-1.732051,5.196152,6.928203,-8.660254,draw
-1.732051,5.196152,8.660254,-8.660254,draw
-1.732051,5.196152,10.392305,-8.660254,draw
0,5.196152,6.928203,-8.660254,draw
-1.732051,8.660254,6.928203,-6.928203,draw
-1.732051,6.928203,8.660254,-10.392305,draw
-1.732051,6.928203,10.392305,-10.392305,draw
-1.732051,6.928203,12.124356,-10.392305,draw
-1.732051,8.660254,10.392305,-12.124356,draw
0,0,1.732051,0,draw
0,0,3.464102,0,draw
0,-1.732051,5.196152,-3.464102,draw
1.732051,-1.732051,1.732051,-1.732051,draw
1.732051,-1.732051,3.464102,-1.732051,draw
0,1.732051,1.732051,-1.732051,draw
0,1.732051,3.464102,-1.732051,draw
0,1.732051,5.196152,-1.732051,draw
0,0,3.464102,-5.196152,draw
0,0,6.928203,-5.196152,draw
1.732051,0,1.732051,-3.464102,draw
1.732051,0,3.464102,-3.464102,draw
1.732051,0,5.196152,-3.464102,draw
0,3.464102,3.464102,-3.464102,draw
0,3.464102,5.196152,-3.464102,draw
0,3.464102,6.928203,-3.464102,draw
0,1.732051,5.196152,-6.928203,draw
0,1.732051,8.660254,-6.928203,draw
1.732051,1.732051,3.464102,-5.196152,draw
1.732051,1.732051,5.196152,-5.196152,draw
1.732051,1.732051,6.928203,-5.196152,draw
0,5.196152,5.196152,-5.196152,draw
0,5.196152,6.928203,-5.196152,draw
0,5.196152,8.660254,-5.196152,draw
0,3.464102,6.928203,-8.660254,draw
0,3.464102,10.392305,-8.660254,draw
1.732051,3.464102,5.196152,-6.928203,draw
1.732051,3.464102,6.928203,-6.928203,draw
1.732051,3.464102,8.660254,-6.928203,draw
0,6.928203,6.928203,-6.928203,draw
0,6.928203,8.660254,-6.928203,draw
0,5.196152,8.660254,-10.392305,draw
0,5.196152,12.124356,-10.392305,draw
1.732051,5.196152,6.928203,-8.660254,draw
1.732051,5.196152,8.660254,-8.660254,draw
1.732051,5.196152,10.392305,-8.660254,draw
0,8.660254,8.660254,-8.660254,draw
0,6.928203,10.392305,-12.124356,draw
1.732051,6.928203,8.660254,-10.392305,draw
1.732051,6.928203,10.392305,-10.392305,draw
1.732051,6.928203,12.124356,-10.392305,draw
1.732051,8.660254,10.392305,-12.124356,draw
0,0,3.464102,-5.196152,draw
0,0,5.196152,-5.196152,draw
1.732051,0,3.464102,-3.464102,draw
0,0,1.732051,-1.732051,draw
0,0,3.464102,-1.732051,draw
0,1.732051,3.464102,-6.928203,draw
0,1.732051,5.196152,-6.928203,draw
0,1.732051,6.928203,-6.928203,draw
1.732051,1.732051,1.732051,-5.196152,draw
1.732051,1.732051,5.196152,-5.196152,draw
0,1.732051,1.732051,-3.464102,draw
0,1.732051,3.464102,-3.464102,draw
0,1.732051,5.196152,-3.464102,draw
0,3.464102,5.196152,-8.660254,draw
0,3.464102,6.928203,-8.660254,draw
0,3.464102,8.660254,-8.660254,draw
1.732051,3.464102,3.464102,-6.928203,draw
1.732051,3.464102,6.928203,-6.928203,draw
0,3.464102,3.464102,-5.196152,draw
0,3.464102,5.196152,-5.196152,draw
0,3.464102,6.928203,-5.196152,draw
0,5.196152,6.928203,-10.392305,draw
0,5.196152,8.660254,-10.392305,draw
0,5.196152,10.392305,-10.392305,draw
1.732051,5.196152,5.196152,-8.660254,draw
