@relation krkopt_clustered-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute Instance_number numeric
@attribute whitekingfile {a,b,c,d}
@attribute whitekingrank numeric
@attribute whiterookfile {b,c,d,e,f,g,h,a}
@attribute whiterookrank numeric
@attribute blackkingfile {c,d,e,f,g,h,a,b}
@attribute blackkingrank numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}
@attribute Cluster {cluster0,cluster1}

@data
21328,b,1,a,2,d,8,fourteen,cluster1
259,b,1,b,7,b,8,draw,cluster1
23560,c,1,h,3,f,3,fourteen,cluster1
13439,b,1,f,1,h,3,twelve,cluster1
7957,d,4,a,8,g,1,nine,cluster0
178,a,1,h,3,h,4,draw,cluster1
21433,b,1,a,8,b,4,fourteen,cluster1
19896,d,1,h,3,a,3,thirteen,cluster1
7965,d,4,b,1,e,1,nine,cluster0
8903,c,2,c,7,e,2,ten,cluster0
10305,a,1,a,4,f,1,eleven,cluster1
13833,c,1,a,6,f,7,twelve,cluster1
7467,d,2,c,5,g,3,nine,cluster0
21532,b,1,b,5,f,5,fourteen,cluster1
5910,d,2,g,5,g,1,eight,cluster0
15155,d,1,a,6,e,7,twelve,cluster1
18358,c,1,h,6,f,2,thirteen,cluster1
10617,b,1,f,8,a,5,eleven,cluster1
14566,c,2,e,8,b,4,twelve,cluster0
22451,b,2,e,6,g,5,fourteen,cluster0
14293,c,2,b,5,f,7,twelve,cluster0
26609,b,1,h,2,g,5,fifteen,cluster1
12758,d,3,g,3,c,8,eleven,cluster0
27415,d,1,c,2,e,5,fifteen,cluster1
16938,a,1,g,4,d,2,thirteen,cluster1
10958,c,1,f,1,g,6,eleven,cluster1
13500,b,1,g,4,a,3,twelve,cluster1
3755,d,3,d,4,a,3,five,cluster0
26240,b,1,c,8,e,4,fifteen,cluster1
4656,c,2,f,3,g,1,seven,cluster0
13818,c,1,a,3,h,8,twelve,cluster1
25896,a,1,g,2,c,3,fifteen,cluster1
25515,a,1,a,3,f,4,fifteen,cluster1
6067,d,3,c,6,g,1,eight,cluster0
22819,c,1,a,8,g,4,fourteen,cluster1
23992,c,2,g,5,e,4,fourteen,cluster0
9732,d,3,a,8,a,4,ten,cluster0
3660,d,2,g,6,b,2,five,cluster0
3913,b,2,c,2,g,1,six,cluster0
21578,b,1,c,1,f,8,fourteen,cluster1
17807,b,2,h,3,h,8,thirteen,cluster0
4854,d,3,a,4,f,1,seven,cluster0
26979,c,1,c,7,g,4,fifteen,cluster1
21302,b,1,a,1,e,7,fourteen,cluster1
14617,c,2,f,5,g,7,twelve,cluster0
1388,c,2,g,4,f,5,draw,cluster0
8849,c,2,a,7,a,4,ten,cluster0
2517,d,3,f,5,g,4,draw,cluster0
1459,c,3,a,1,b,1,draw,cluster0
23570,c,1,h,3,h,5,fourteen,cluster1
1272,c,2,e,4,d,5,draw,cluster0
16406,d,3,f,2,e,6,twelve,cluster0
1172,c,2,b,6,c,5,draw,cluster0
5559,c,2,g,5,h,2,eight,cluster0
12489,d,3,c,2,h,7,eleven,cluster0
11862,d,1,f,7,h,7,eleven,cluster1
4359,d,3,e,7,a,2,six,cluster0
26277,b,1,d,3,d,5,fifteen,cluster1
11306,c,2,f,7,g,4,eleven,cluster0
536,b,1,g,8,h,7,draw,cluster1
8013,d,4,b,7,f,1,nine,cluster0
23074,c,1,d,2,g,8,fourteen,cluster1
13565,b,2,a,1,h,3,twelve,cluster0
