@relation krkopt_clustered

@attribute Instance_number numeric
@attribute whitekingfile {a,b,c,d}
@attribute whitekingrank numeric
@attribute whiterookfile {b,c,d,e,f,g,h,a}
@attribute whiterookrank numeric
@attribute blackkingfile {c,d,e,f,g,h,a,b}
@attribute blackkingrank numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}
@attribute Cluster {cluster0,cluster1}

@data
0,a,1,b,3,c,2,draw,cluster1
1,a,1,c,1,c,2,draw,cluster1
2,a,1,c,1,d,1,draw,cluster1
3,a,1,c,1,d,2,draw,cluster1
4,a,1,c,2,c,1,draw,cluster1
5,a,1,c,2,c,3,draw,cluster1
6,a,1,c,2,d,1,draw,cluster1
7,a,1,c,2,d,2,draw,cluster1
8,a,1,c,2,d,3,draw,cluster1
9,a,1,c,3,c,2,draw,cluster1
10,a,1,c,3,d,2,draw,cluster1
11,a,1,c,3,d,3,draw,cluster1
12,a,1,c,3,d,4,draw,cluster1
13,a,1,c,4,d,3,draw,cluster1
14,a,1,d,1,c,1,draw,cluster1
15,a,1,d,1,c,2,draw,cluster1
16,a,1,d,1,d,2,draw,cluster1
17,a,1,d,1,e,1,draw,cluster1
18,a,1,d,1,e,2,draw,cluster1
19,a,1,d,2,c,1,draw,cluster1
20,a,1,d,2,c,2,draw,cluster1
21,a,1,d,2,c,3,draw,cluster1
22,a,1,d,2,d,1,draw,cluster1
23,a,1,d,2,d,3,draw,cluster1
24,a,1,d,2,e,1,draw,cluster1
25,a,1,d,2,e,2,draw,cluster1
26,a,1,d,2,e,3,draw,cluster1
27,a,1,d,3,c,2,draw,cluster1
28,a,1,d,3,c,3,draw,cluster1
29,a,1,d,3,d,2,draw,cluster1
30,a,1,d,3,d,4,draw,cluster1
31,a,1,d,3,e,2,draw,cluster1
32,a,1,d,3,e,3,draw,cluster1
33,a,1,d,3,e,4,draw,cluster1
34,a,1,d,4,c,3,draw,cluster1
35,a,1,d,4,d,3,draw,cluster1
36,a,1,d,4,e,3,draw,cluster1
37,a,1,d,4,e,4,draw,cluster1
38,a,1,d,4,e,5,draw,cluster1
39,a,1,d,5,e,4,draw,cluster1
40,a,1,e,1,d,1,draw,cluster1
41,a,1,e,1,d,2,draw,cluster1
42,a,1,e,1,e,2,draw,cluster1
43,a,1,e,1,f,1,draw,cluster1
44,a,1,e,1,f,2,draw,cluster1
45,a,1,e,2,d,1,draw,cluster1
46,a,1,e,2,d,2,draw,cluster1
47,a,1,e,2,d,3,draw,cluster1
48,a,1,e,2,e,1,draw,cluster1
49,a,1,e,2,e,3,draw,cluster1
50,a,1,e,2,f,1,draw,cluster1
51,a,1,e,2,f,2,draw,cluster1
52,a,1,e,2,f,3,draw,cluster1
53,a,1,e,3,d,2,draw,cluster1
54,a,1,e,3,d,3,draw,cluster1
55,a,1,e,3,d,4,draw,cluster1
56,a,1,e,3,e,2,draw,cluster1
57,a,1,e,3,e,4,draw,cluster1
58,a,1,e,3,f,2,draw,cluster1
59,a,1,e,3,f,3,draw,cluster1
