@relation krkopt_clustered

@attribute Instance_number numeric
@attribute whitekingfile {a,b,c,d}
@attribute whitekingrank numeric
@attribute whiterookfile {b,c,d,e,f,g,h,a}
@attribute whiterookrank numeric
@attribute blackkingfile {c,d,e,f,g,h,a,b}
@attribute blackkingrank numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
0,a,1,b,3,c,2,draw,cluster3
1,a,1,c,1,c,2,draw,cluster0
2,a,1,c,1,d,1,draw,cluster3
3,a,1,c,1,d,2,draw,cluster3
4,a,1,c,2,c,1,draw,cluster0
5,a,1,c,2,c,3,draw,cluster0
6,a,1,c,2,d,1,draw,cluster3
7,a,1,c,2,d,2,draw,cluster3
8,a,1,c,2,d,3,draw,cluster3
9,a,1,c,3,c,2,draw,cluster3
10,a,1,c,3,d,2,draw,cluster3
11,a,1,c,3,d,3,draw,cluster3
12,a,1,c,3,d,4,draw,cluster3
13,a,1,c,4,d,3,draw,cluster3
14,a,1,d,1,c,1,draw,cluster0
15,a,1,d,1,c,2,draw,cluster0
16,a,1,d,1,d,2,draw,cluster3
17,a,1,d,1,e,1,draw,cluster0
18,a,1,d,1,e,2,draw,cluster0
19,a,1,d,2,c,1,draw,cluster0
20,a,1,d,2,c,2,draw,cluster0
21,a,1,d,2,c,3,draw,cluster0
22,a,1,d,2,d,1,draw,cluster3
23,a,1,d,2,d,3,draw,cluster3
24,a,1,d,2,e,1,draw,cluster0
25,a,1,d,2,e,2,draw,cluster0
26,a,1,d,2,e,3,draw,cluster0
27,a,1,d,3,c,2,draw,cluster3
28,a,1,d,3,c,3,draw,cluster3
29,a,1,d,3,d,2,draw,cluster3
30,a,1,d,3,d,4,draw,cluster3
31,a,1,d,3,e,2,draw,cluster3
32,a,1,d,3,e,3,draw,cluster3
33,a,1,d,3,e,4,draw,cluster0
34,a,1,d,4,c,3,draw,cluster3
35,a,1,d,4,d,3,draw,cluster3
36,a,1,d,4,e,3,draw,cluster3
37,a,1,d,4,e,4,draw,cluster3
38,a,1,d,4,e,5,draw,cluster3
39,a,1,d,5,e,4,draw,cluster3
40,a,1,e,1,d,1,draw,cluster0
41,a,1,e,1,d,2,draw,cluster0
42,a,1,e,1,e,2,draw,cluster0
43,a,1,e,1,f,1,draw,cluster0
44,a,1,e,1,f,2,draw,cluster0
45,a,1,e,2,d,1,draw,cluster0
46,a,1,e,2,d,2,draw,cluster0
47,a,1,e,2,d,3,draw,cluster0
48,a,1,e,2,e,1,draw,cluster0
49,a,1,e,2,e,3,draw,cluster0
50,a,1,e,2,f,1,draw,cluster0
51,a,1,e,2,f,2,draw,cluster0
52,a,1,e,2,f,3,draw,cluster0
53,a,1,e,3,d,2,draw,cluster3
54,a,1,e,3,d,3,draw,cluster3
55,a,1,e,3,d,4,draw,cluster0
56,a,1,e,3,e,2,draw,cluster0
57,a,1,e,3,e,4,draw,cluster0
58,a,1,e,3,f,2,draw,cluster0
59,a,1,e,3,f,3,draw,cluster0
60,a,1,e,3,f,4,draw,cluster0
61,a,1,e,4,d,3,draw,cluster3
62,a,1,e,4,d,4,draw,cluster3
63,a,1,e,4,e,3,draw,cluster0
64,a,1,e,4,e,5,draw,cluster0
65,a,1,e,4,f,3,draw,cluster0
66,a,1,e,4,f,4,draw,cluster0
67,a,1,e,4,f,5,draw,cluster0
68,a,1,e,5,d,4,draw,cluster3
69,a,1,e,5,e,4,draw,cluster0
70,a,1,e,5,f,4,draw,cluster0
71,a,1,e,5,f,5,draw,cluster0
72,a,1,e,5,f,6,draw,cluster0
73,a,1,e,6,f,5,draw,cluster0
74,a,1,f,1,e,1,draw,cluster2
75,a,1,f,1,e,2,draw,cluster2
76,a,1,f,1,f,2,draw,cluster2
77,a,1,f,1,g,1,draw,cluster0
78,a,1,f,1,g,2,draw,cluster0
79,a,1,f,2,e,1,draw,cluster2
80,a,1,f,2,e,2,draw,cluster2
81,a,1,f,2,e,3,draw,cluster2
82,a,1,f,2,f,1,draw,cluster2
83,a,1,f,2,f,3,draw,cluster2
84,a,1,f,2,g,1,draw,cluster0
85,a,1,f,2,g,2,draw,cluster0
86,a,1,f,2,g,3,draw,cluster0
87,a,1,f,3,e,2,draw,cluster2
88,a,1,f,3,e,3,draw,cluster2
89,a,1,f,3,e,4,draw,cluster2
90,a,1,f,3,f,2,draw,cluster2
91,a,1,f,3,f,4,draw,cluster2
92,a,1,f,3,g,2,draw,cluster0
93,a,1,f,3,g,3,draw,cluster0
94,a,1,f,3,g,4,draw,cluster0
95,a,1,f,4,e,3,draw,cluster2
96,a,1,f,4,e,4,draw,cluster2
97,a,1,f,4,e,5,draw,cluster2
98,a,1,f,4,f,3,draw,cluster2
99,a,1,f,4,f,5,draw,cluster2
100,a,1,f,4,g,3,draw,cluster0
101,a,1,f,4,g,4,draw,cluster0
102,a,1,f,4,g,5,draw,cluster0
103,a,1,f,5,e,4,draw,cluster2
104,a,1,f,5,e,5,draw,cluster2
105,a,1,f,5,f,4,draw,cluster2
106,a,1,f,5,f,6,draw,cluster2
107,a,1,f,5,g,4,draw,cluster0
108,a,1,f,5,g,5,draw,cluster0
109,a,1,f,5,g,6,draw,cluster0
110,a,1,f,6,e,5,draw,cluster2
111,a,1,f,6,f,5,draw,cluster2
112,a,1,f,6,g,5,draw,cluster2
113,a,1,f,6,g,6,draw,cluster0
114,a,1,f,6,g,7,draw,cluster0
115,a,1,f,7,g,6,draw,cluster2
116,a,1,g,1,f,1,draw,cluster1
117,a,1,g,1,f,2,draw,cluster1
118,a,1,g,1,g,2,draw,cluster1
119,a,1,g,1,h,1,draw,cluster1
120,a,1,g,1,h,2,draw,cluster1
121,a,1,g,2,f,1,draw,cluster1
122,a,1,g,2,f,2,draw,cluster1
123,a,1,g,2,f,3,draw,cluster1
124,a,1,g,2,g,1,draw,cluster1
125,a,1,g,2,g,3,draw,cluster1
126,a,1,g,2,h,1,draw,cluster1
127,a,1,g,2,h,2,draw,cluster1
128,a,1,g,2,h,3,draw,cluster2
129,a,1,g,3,f,2,draw,cluster1
130,a,1,g,3,f,3,draw,cluster1
131,a,1,g,3,f,4,draw,cluster1
132,a,1,g,3,g,2,draw,cluster1
133,a,1,g,3,g,4,draw,cluster1
134,a,1,g,3,h,2,draw,cluster2
135,a,1,g,3,h,3,draw,cluster2
136,a,1,g,3,h,4,draw,cluster2
137,a,1,g,4,f,3,draw,cluster1
138,a,1,g,4,f,4,draw,cluster1
139,a,1,g,4,f,5,draw,cluster1
140,a,1,g,4,g,3,draw,cluster1
141,a,1,g,4,g,5,draw,cluster1
142,a,1,g,4,h,3,draw,cluster2
143,a,1,g,4,h,4,draw,cluster2
144,a,1,g,4,h,5,draw,cluster2
145,a,1,g,5,f,4,draw,cluster1
146,a,1,g,5,f,5,draw,cluster1
147,a,1,g,5,f,6,draw,cluster1
148,a,1,g,5,g,4,draw,cluster1
149,a,1,g,5,g,6,draw,cluster1
150,a,1,g,5,h,4,draw,cluster2
151,a,1,g,5,h,5,draw,cluster2
152,a,1,g,5,h,6,draw,cluster2
153,a,1,g,6,f,5,draw,cluster1
154,a,1,g,6,f,6,draw,cluster1
155,a,1,g,6,g,5,draw,cluster1
156,a,1,g,6,g,7,draw,cluster1
157,a,1,g,6,h,5,draw,cluster2
158,a,1,g,6,h,6,draw,cluster2
159,a,1,g,6,h,7,draw,cluster2
160,a,1,g,7,f,6,draw,cluster1
161,a,1,g,7,g,6,draw,cluster1
162,a,1,g,7,h,6,draw,cluster2
163,a,1,g,7,h,7,draw,cluster2
164,a,1,g,7,h,8,draw,cluster2
165,a,1,g,8,h,7,draw,cluster2
166,a,1,h,1,g,1,draw,cluster0
167,a,1,h,1,g,2,draw,cluster0
168,a,1,h,1,h,2,draw,cluster3
169,a,1,h,2,g,1,draw,cluster0
170,a,1,h,2,g,2,draw,cluster0
171,a,1,h,2,g,3,draw,cluster0
172,a,1,h,2,h,1,draw,cluster3
173,a,1,h,2,h,3,draw,cluster3
174,a,1,h,3,g,2,draw,cluster3
175,a,1,h,3,g,3,draw,cluster3
176,a,1,h,3,g,4,draw,cluster0
177,a,1,h,3,h,2,draw,cluster3
178,a,1,h,3,h,4,draw,cluster3
179,a,1,h,4,g,3,draw,cluster3
180,a,1,h,4,g,4,draw,cluster3
181,a,1,h,4,g,5,draw,cluster3
182,a,1,h,4,h,3,draw,cluster3
183,a,1,h,4,h,5,draw,cluster3
184,a,1,h,5,g,4,draw,cluster3
185,a,1,h,5,g,5,draw,cluster3
186,a,1,h,5,g,6,draw,cluster3
187,a,1,h,5,h,4,draw,cluster3
188,a,1,h,5,h,6,draw,cluster3
189,a,1,h,6,g,5,draw,cluster3
190,a,1,h,6,g,6,draw,cluster3
191,a,1,h,6,g,7,draw,cluster3
192,a,1,h,6,h,5,draw,cluster3
193,a,1,h,6,h,7,draw,cluster3
194,a,1,h,7,g,6,draw,cluster3
195,a,1,h,7,g,7,draw,cluster3
196,a,1,h,7,h,6,draw,cluster3
197,a,1,h,7,h,8,draw,cluster3
198,a,1,h,8,g,7,draw,cluster3
199,a,1,h,8,h,7,draw,cluster3
200,b,1,a,3,a,4,draw,cluster0
201,b,1,a,3,b,3,draw,cluster3
202,b,1,a,3,b,4,draw,cluster0
203,b,1,a,4,a,3,draw,cluster3
204,b,1,a,4,a,5,draw,cluster3
205,b,1,a,4,b,3,draw,cluster3
206,b,1,a,4,b,4,draw,cluster3
207,b,1,a,4,b,5,draw,cluster3
208,b,1,a,5,a,4,draw,cluster3
209,b,1,a,5,a,6,draw,cluster3
210,b,1,a,5,b,4,draw,cluster3
211,b,1,a,5,b,5,draw,cluster3
212,b,1,a,5,b,6,draw,cluster3
213,b,1,a,6,a,5,draw,cluster3
214,b,1,a,6,a,7,draw,cluster3
215,b,1,a,6,b,5,draw,cluster3
216,b,1,a,6,b,6,draw,cluster3
217,b,1,a,6,b,7,draw,cluster3
218,b,1,a,7,a,6,draw,cluster3
219,b,1,a,7,a,8,draw,cluster3
220,b,1,a,7,b,6,draw,cluster3
221,b,1,a,7,b,7,draw,cluster3
222,b,1,a,7,b,8,draw,cluster3
223,b,1,a,8,a,7,draw,cluster3
224,b,1,a,8,b,7,draw,cluster3
225,b,1,a,8,b,8,draw,cluster3
226,b,1,b,3,a,3,draw,cluster3
227,b,1,b,3,a,4,draw,cluster0
228,b,1,b,3,b,4,draw,cluster0
229,b,1,b,3,c,3,draw,cluster3
230,b,1,b,3,c,4,draw,cluster0
231,b,1,b,4,a,3,draw,cluster3
232,b,1,b,4,a,4,draw,cluster3
233,b,1,b,4,a,5,draw,cluster3
234,b,1,b,4,b,3,draw,cluster3
235,b,1,b,4,b,5,draw,cluster3
236,b,1,b,4,c,3,draw,cluster3
237,b,1,b,4,c,4,draw,cluster3
238,b,1,b,4,c,5,draw,cluster3
239,b,1,b,5,a,4,draw,cluster3
240,b,1,b,5,a,5,draw,cluster3
241,b,1,b,5,a,6,draw,cluster3
242,b,1,b,5,b,4,draw,cluster3
243,b,1,b,5,b,6,draw,cluster3
244,b,1,b,5,c,4,draw,cluster3
245,b,1,b,5,c,5,draw,cluster3
246,b,1,b,5,c,6,draw,cluster3
247,b,1,b,6,a,5,draw,cluster3
248,b,1,b,6,a,6,draw,cluster3
249,b,1,b,6,a,7,draw,cluster3
250,b,1,b,6,b,5,draw,cluster3
251,b,1,b,6,b,7,draw,cluster3
252,b,1,b,6,c,5,draw,cluster3
253,b,1,b,6,c,6,draw,cluster3
254,b,1,b,6,c,7,draw,cluster3
255,b,1,b,7,a,6,draw,cluster3
256,b,1,b,7,a,7,draw,cluster3
257,b,1,b,7,a,8,draw,cluster3
258,b,1,b,7,b,6,draw,cluster3
259,b,1,b,7,b,8,draw,cluster3
260,b,1,b,7,c,6,draw,cluster3
261,b,1,b,7,c,7,draw,cluster3
262,b,1,b,7,c,8,draw,cluster3
263,b,1,b,8,a,7,draw,cluster3
264,b,1,b,8,a,8,draw,cluster3
265,b,1,b,8,b,7,draw,cluster3
266,b,1,b,8,c,7,draw,cluster3
267,b,1,b,8,c,8,draw,cluster3
268,b,1,c,3,b,3,draw,cluster3
269,b,1,c,3,b,4,draw,cluster0
270,b,1,c,3,c,4,draw,cluster0
271,b,1,c,3,d,2,draw,cluster3
272,b,1,c,3,d,3,draw,cluster3
273,b,1,c,3,d,4,draw,cluster3
274,b,1,c,4,b,3,draw,cluster3
275,b,1,c,4,b,4,draw,cluster3
276,b,1,c,4,b,5,draw,cluster3
277,b,1,c,4,c,3,draw,cluster3
278,b,1,c,4,c,5,draw,cluster3
279,b,1,c,4,d,3,draw,cluster3
280,b,1,c,4,d,4,draw,cluster3
281,b,1,c,4,d,5,draw,cluster3
282,b,1,c,5,b,4,draw,cluster3
283,b,1,c,5,b,5,draw,cluster3
284,b,1,c,5,b,6,draw,cluster3
285,b,1,c,5,c,4,draw,cluster3
286,b,1,c,5,c,6,draw,cluster3
287,b,1,c,5,d,4,draw,cluster3
288,b,1,c,5,d,5,draw,cluster3
289,b,1,c,5,d,6,draw,cluster3
290,b,1,c,6,b,5,draw,cluster3
291,b,1,c,6,b,6,draw,cluster3
292,b,1,c,6,b,7,draw,cluster3
293,b,1,c,6,c,5,draw,cluster3
294,b,1,c,6,c,7,draw,cluster3
295,b,1,c,6,d,5,draw,cluster3
296,b,1,c,6,d,6,draw,cluster3
297,b,1,c,6,d,7,draw,cluster3
298,b,1,c,7,b,6,draw,cluster3
299,b,1,c,7,b,7,draw,cluster3
300,b,1,c,7,b,8,draw,cluster3
301,b,1,c,7,c,6,draw,cluster3
302,b,1,c,7,c,8,draw,cluster3
303,b,1,c,7,d,6,draw,cluster3
304,b,1,c,7,d,7,draw,cluster3
305,b,1,c,7,d,8,draw,cluster3
306,b,1,c,8,b,7,draw,cluster3
307,b,1,c,8,b,8,draw,cluster3
308,b,1,c,8,c,7,draw,cluster3
309,b,1,c,8,d,7,draw,cluster3
310,b,1,c,8,d,8,draw,cluster3
311,b,1,d,1,d,2,draw,cluster3
312,b,1,d,1,e,1,draw,cluster0
313,b,1,d,1,e,2,draw,cluster0
314,b,1,d,2,c,3,draw,cluster0
315,b,1,d,2,d,1,draw,cluster3
316,b,1,d,2,d,3,draw,cluster3
317,b,1,d,2,e,1,draw,cluster0
318,b,1,d,2,e,2,draw,cluster0
319,b,1,d,2,e,3,draw,cluster0
320,b,1,d,3,c,3,draw,cluster3
321,b,1,d,3,c,4,draw,cluster0
322,b,1,d,3,d,2,draw,cluster3
323,b,1,d,3,d,4,draw,cluster3
324,b,1,d,3,e,2,draw,cluster3
325,b,1,d,3,e,3,draw,cluster3
326,b,1,d,3,e,4,draw,cluster0
327,b,1,d,4,c,3,draw,cluster3
328,b,1,d,4,c,4,draw,cluster3
329,b,1,d,4,c,5,draw,cluster3
330,b,1,d,4,d,3,draw,cluster3
331,b,1,d,4,d,5,draw,cluster3
332,b,1,d,4,e,3,draw,cluster3
