@relation 'krkopt_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1_clustered-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0'

@attribute Instance_number numeric
@attribute -0.672whitekingfile=d-0.486whitekingrank+0.346whitekingfile=b+0.305whitekingfile=c+0.225whitekingfile=a... numeric
@attribute '-0.733whitekingfile=c+0.488whitekingfile=b+0.26 whitekingfile=a-0.188whitekingrank+0.187blackkingfile=d...' numeric
@attribute -0.491blackkingrank+0.383whitekingfile=a-0.318blackkingfile=b+0.287blackkingfile=g+0.275blackkingfile=f... numeric
@attribute 0.788blackkingfile=h-0.37blackkingfile=g-0.336blackkingfile=f-0.249whiterookfile=h+0.128whiterookfile=g... numeric
@attribute 0.658blackkingfile=g-0.644blackkingfile=f-0.264whiterookfile=g+0.259whiterookfile=f+0.071blackkingrank... numeric
@attribute 0.405whiterookfile=e+0.396blackkingfile=c-0.341blackkingfile=e-0.322whiterookfile=a-0.31whiterookfile=c... numeric
@attribute 0.593whiterookfile=e-0.378blackkingfile=e+0.271whiterookfile=a-0.269whiterookfile=h-0.266whiterookfile=g... numeric
@attribute -0.683whiterookfile=a+0.476whiterookfile=c+0.377blackkingfile=a-0.259blackkingfile=c-0.17whiterookfile=h... numeric
@attribute '-0.717whiterookfile=b+0.341whiterookfile=f+0.334whiterookfile=g+0.277whiterookfile=h+0.24 whiterookfile=e...' numeric
@attribute -0.574whiterookfile=d-0.539whiterookfile=h+0.368whiterookfile=f+0.248whiterookfile=g+0.199whiterookfile=a... numeric
@attribute -0.563whiterookfile=d+0.511whiterookfile=h-0.463whiterookfile=g+0.243whiterookfile=c+0.179blackkingfile=h... numeric
@attribute -0.649whiterookfile=f+0.543whiterookfile=g-0.275whiterookfile=d-0.265blackkingfile=f+0.229whiterookfile=c... numeric
@attribute -0.612whiterookfile=c-0.421blackkingfile=c+0.328whiterookfile=b-0.302whitekingfile=a+0.288whitekingfile=b... numeric
@attribute -0.709blackkingfile=e-0.493whiterookfile=e+0.212blackkingfile=f+0.168blackkingfile=a+0.167whiterookfile=f... numeric
@attribute '0.626blackkingfile=a-0.532blackkingfile=b+0.332whiterookfile=a-0.268whiterookfile=b+0.17 whitekingfile=a...' numeric
@attribute -0.808blackkingfile=d+0.294blackkingfile=c+0.265whitekingfile=b-0.258whiterookfile=d-0.154whitekingfile=a... numeric
@attribute 0.593blackkingfile=b+0.401whitekingfile=a+0.322blackkingfile=a-0.319blackkingfile=c-0.288whitekingrank... numeric
@attribute '0.969whiterookrank-0.141blackkingrank+0.12 blackkingfile=c-0.076whiterookfile=d-0.061whitekingfile=a...' numeric
@attribute '0.74 blackkingrank-0.395blackkingfile=c+0.225blackkingfile=f-0.209blackkingfile=b+0.194whiterookrank...' numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
21328,1.675014,1.922977,-2.323926,-0.017895,0.022574,-0.748397,1.207619,-2.061418,-0.747205,1.118135,0.782489,0.323669,0.488363,0.942274,0.702406,-1.83032,-0.843547,-1.200168,0.409876,fourteen,cluster4
259,0.980854,1.078222,-2.436394,-0.045046,0.013271,-0.050898,0.033239,0.085077,-2.079448,0.144153,-0.089673,-0.097433,1.134208,-0.45314,-2.973177,0.849113,1.843028,0.829207,0.293668,draw,cluster0
23560,1.249057,-1.249489,0.88806,-1.72811,-1.800361,0.751448,-0.297923,-0.521634,0.970718,-1.246112,1.643739,-0.31828,0.233283,0.971982,-0.580175,0.269939,0.027652,-0.599605,0.008566,fourteen,cluster3
13439,1.480583,1.614818,0.123324,2.243403,0.707575,-0.846722,-0.150817,0.354864,1.184101,0.746284,0.610563,-1.854081,0.996773,0.855375,-0.488467,1.128435,-0.319297,-1.200715,-0.838205,twelve,cluster3
7957,-2.340741,0.136426,1.897811,-1.232353,1.612923,-1.482505,1.021226,-1.999125,-0.540648,0.792742,-0.140905,0.700166,0.277778,0.354,0.96237,-0.032266,-0.048087,1.62521,-0.56,nine,cluster2
178,1.498484,1.378547,2.025784,1.63449,0.20481,1.610347,-1.411219,-0.804014,0.876788,-2.224298,1.76536,0.377809,-0.428795,0.223747,0.46929,-0.160819,1.800375,-0.807464,0.536337,draw,cluster4
21433,1.019642,1.348644,-1.800137,-0.332892,-0.174001,-2.079056,1.457426,-2.085373,-0.448748,0.315934,0.125001,0.038088,0.116231,-0.12433,-0.951256,0.44941,2.33545,1.56019,-0.826642,fourteen,cluster0
19896,-0.96145,0.023431,-0.950742,-1.024595,-0.132614,0.74745,-1.091655,0.73166,0.713749,-1.525009,1.55675,0.325123,1.2123,0.618082,2.227289,0.574291,1.381841,-0.604495,-0.511527,thirteen,cluster0
7965,-1.940809,-0.278321,1.365841,-0.314033,-0.22513,-0.522739,-1.952422,0.13019,-1.889918,0.83051,0.273712,-0.087779,1.370843,-2.745697,-0.229576,0.064963,-0.916175,-1.42862,-1.222772,nine,cluster1
8903,1.117743,-1.41983,0.742354,-0.428515,-0.304871,-2.209894,-0.953129,1.485337,-0.512515,0.200903,0.917522,0.750876,-1.844032,-1.709848,0.200878,-0.181812,-0.78193,1.029655,-0.387337,ten,cluster4
10305,1.471771,1.415181,2.744447,-0.83105,-1.734622,0.402394,0.299351,-2.289587,-0.520071,0.748911,0.109002,-0.758382,-1.494341,0.375767,1.551036,-0.326089,2.334952,-0.436177,0.118033,eleven,cluster2
13833,1.212025,-1.424924,-0.001368,-0.848135,-1.722857,-0.564592,1.388209,-2.152072,-0.652659,0.779634,0.377726,-0.537342,-0.654044,1.093953,0.371076,0.216971,0.321405,0.318837,1.6451,twelve,cluster2
7467,-1.341987,0.747983,1.040166,-1.15959,1.66003,-0.994571,0.266328,1.456421,-0.536005,0.151544,0.207625,1.258382,-1.717932,0.579063,-0.122215,0.308379,-0.309329,0.085012,0.085633,nine,cluster2
