@relation krkopt-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N5-R186-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}

@data
3.464102,8.660254,1.732051,0,-3.464102,draw
3.464102,3.464102,1.732051,0,-1.732051,draw
0,1.732051,0,0,-1.732051,draw
1.732051,3.464102,0,0,-3.464102,draw
1.732051,3.464102,1.732051,0,0,draw
5.196152,6.928203,1.732051,0,-3.464102,draw
0,3.464102,0,0,-1.732051,draw
1.732051,5.196152,0,0,-3.464102,draw
3.464102,6.928203,0,0,-5.196152,draw
3.464102,6.928203,1.732051,0,-1.732051,draw
1.732051,6.928203,0,0,-3.464102,draw
3.464102,8.660254,0,0,-5.196152,draw
5.196152,10.392305,0,0,-6.928203,draw
3.464102,10.392305,0,0,-5.196152,draw
3.464102,1.732051,1.732051,0,-1.732051,draw
5.196152,3.464102,1.732051,0,-3.464102,draw
3.464102,3.464102,0,0,-5.196152,draw
3.464102,0,0,0,-3.464102,draw
5.196152,1.732051,0,0,-5.196152,draw
3.464102,3.464102,1.732051,0,-1.732051,draw
5.196152,5.196152,1.732051,0,-3.464102,draw
6.928203,6.928203,1.732051,0,-5.196152,draw
1.732051,3.464102,0,0,-3.464102,draw
5.196152,6.928203,0,0,-6.928203,draw
3.464102,1.732051,0,0,-3.464102,draw
5.196152,3.464102,0,0,-5.196152,draw
6.928203,5.196152,0,0,-6.928203,draw
5.196152,6.928203,1.732051,0,-3.464102,draw
6.928203,8.660254,1.732051,0,-5.196152,draw
3.464102,6.928203,0,0,-5.196152,draw
6.928203,10.392305,0,0,-8.660254,draw
5.196152,5.196152,0,0,-5.196152,draw
6.928203,6.928203,0,0,-6.928203,draw
8.660254,8.660254,0,0,-8.660254,draw
6.928203,10.392305,1.732051,0,-5.196152,draw
5.196152,10.392305,0,0,-6.928203,draw
6.928203,8.660254,0,0,-6.928203,draw
8.660254,10.392305,0,0,-8.660254,draw
10.392305,12.124356,0,0,-10.392305,draw
8.660254,12.124356,0,0,-8.660254,draw
1.732051,1.732051,1.732051,-1.732051,-3.464102,draw
3.464102,3.464102,1.732051,-1.732051,-5.196152,draw
5.196152,1.732051,1.732051,-1.732051,-5.196152,draw
3.464102,1.732051,1.732051,-1.732051,-1.732051,draw
5.196152,3.464102,1.732051,-1.732051,-3.464102,draw
1.732051,3.464102,1.732051,-1.732051,-3.464102,draw
3.464102,5.196152,1.732051,-1.732051,-5.196152,draw
5.196152,6.928203,1.732051,-1.732051,-6.928203,draw
3.464102,1.732051,1.732051,-1.732051,-3.464102,draw
6.928203,5.196152,1.732051,-1.732051,-6.928203,draw
3.464102,3.464102,1.732051,-1.732051,-1.732051,draw
5.196152,5.196152,1.732051,-1.732051,-3.464102,draw
6.928203,6.928203,1.732051,-1.732051,-5.196152,draw
3.464102,6.928203,1.732051,-1.732051,-5.196152,draw
5.196152,8.660254,1.732051,-1.732051,-6.928203,draw
6.928203,10.392305,1.732051,-1.732051,-8.660254,draw
5.196152,5.196152,1.732051,-1.732051,-5.196152,draw
8.660254,8.660254,1.732051,-1.732051,-8.660254,draw
5.196152,6.928203,1.732051,-1.732051,-3.464102,draw
6.928203,8.660254,1.732051,-1.732051,-5.196152,draw
8.660254,10.392305,1.732051,-1.732051,-6.928203,draw
5.196152,10.392305,1.732051,-1.732051,-6.928203,draw
6.928203,12.124356,1.732051,-1.732051,-8.660254,draw
6.928203,8.660254,1.732051,-1.732051,-6.928203,draw
10.392305,12.124356,1.732051,-1.732051,-10.392305,draw
6.928203,10.392305,1.732051,-1.732051,-5.196152,draw
8.660254,12.124356,1.732051,-1.732051,-6.928203,draw
10.392305,13.856406,1.732051,-1.732051,-8.660254,draw
6.928203,13.856406,1.732051,-1.732051,-8.660254,draw
8.660254,12.124356,1.732051,-1.732051,-8.660254,draw
8.660254,13.856406,1.732051,-1.732051,-6.928203,draw
10.392305,15.588457,1.732051,-1.732051,-8.660254,draw
12.124356,17.320508,1.732051,-1.732051,-10.392305,draw
10.392305,17.320508,1.732051,-1.732051,-8.660254,draw
3.464102,1.732051,0,0,-3.464102,draw
5.196152,3.464102,0,0,-5.196152,draw
5.196152,5.196152,0,0,-3.464102,draw
1.732051,5.196152,0,0,-1.732051,draw
3.464102,6.928203,0,0,-3.464102,draw
3.464102,3.464102,0,0,-3.464102,draw
5.196152,5.196152,0,0,-5.196152,draw
6.928203,6.928203,0,0,-6.928203,draw
