@relation 'spambase_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0_clustered'

@attribute Instance_number numeric
@attribute '0.348word_freq_857+0.348word_freq_415+0.32 word_freq_direct+0.317word_freq_technology+0.312word_freq_telnet...' numeric
@attribute -0.272word_freq_your-0.252capital_run_length_longest-0.248word_freq_000-0.236char_freq_$-0.235word_freq_order... numeric
@attribute -0.445capital_run_length_longest-0.372capital_run_length_total-0.292char_freq_(-0.285capital_run_length_average+0.248word_freq_you... numeric
@attribute 0.403word_freq_original+0.394word_freq_1999+0.304word_freq_pm-0.295word_freq_font+0.246word_freq_cs... numeric
@attribute -0.534word_freq_meeting-0.332word_freq_will-0.31word_freq_lab-0.27word_freq_our+0.256word_freq_font... numeric
@attribute '-0.303word_freq_font-0.299word_freq_business-0.299char_freq_;+0.29 word_freq_addresses-0.274word_freq_credit...' numeric
@attribute -0.43word_freq_font-0.406char_freq_;+0.284capital_run_length_average-0.254word_freq_000-0.247word_freq_meeting... numeric
@attribute -0.323word_freq_edu-0.305word_freq_you-0.257word_freq_cs-0.239char_freq_!+0.237word_freq_internet... numeric
@attribute -0.368word_freq_edu-0.35word_freq_cs+0.291word_freq_make-0.28word_freq_our-0.258word_freq_remove... numeric
@attribute 0.359word_freq_cs+0.353word_freq_edu-0.289word_freq_re-0.265word_freq_pm-0.262char_freq_!... numeric
@attribute '0.326word_freq_email+0.262word_freq_will+0.258word_freq_all-0.248word_freq_george+0.23 word_freq_hpl...' numeric
@attribute '-0.355word_freq_money-0.305word_freq_free-0.262word_freq_make+0.257word_freq_re+0.24 char_freq_!...' numeric
@attribute '-0.334word_freq_parts+0.314word_freq_address+0.27 word_freq_mail-0.259word_freq_hp+0.254word_freq_will...' numeric
@attribute 0.529word_freq_data+0.345char_freq_[-0.246word_freq_people-0.219word_freq_hp-0.198word_freq_hpl... numeric
@attribute 0.399word_freq_table-0.361word_freq_project+0.272word_freq_re+0.223word_freq_order-0.22word_freq_will... numeric
@attribute -0.428word_freq_address+0.373word_freq_george-0.307word_freq_mail-0.297word_freq_report+0.255word_freq_conference... numeric
@attribute -0.504word_freq_table+0.359char_freq_[-0.277word_freq_report-0.261word_freq_project+0.246char_freq_!... numeric
@attribute -0.453word_freq_3d-0.403word_freq_project-0.332word_freq_parts-0.243word_freq_re+0.225word_freq_free... numeric
@attribute -0.686word_freq_3d+0.428word_freq_parts-0.187word_freq_lab+0.167word_freq_people+0.167word_freq_address... numeric
@attribute -0.602word_freq_conference+0.532word_freq_project+0.258char_freq_#-0.17word_freq_3d+0.168word_freq_make... numeric
@attribute 0.447word_freq_address-0.388char_freq_#-0.295word_freq_conference-0.284word_freq_re-0.275word_freq_mail... numeric
@attribute '-0.43char_freq_#-0.327word_freq_address-0.256word_freq_over-0.247word_freq_conference+0.24 capital_run_length_average...' numeric
@attribute 0.407word_freq_conference+0.407char_freq_!+0.387word_freq_project+0.339word_freq_table+0.284word_freq_free... numeric
@attribute -0.326word_freq_mail-0.321char_freq_(-0.31word_freq_internet+0.261char_freq_[-0.26word_freq_free... numeric
@attribute -0.404word_freq_people-0.357word_freq_money-0.298word_freq_email+0.294word_freq_report+0.253word_freq_000... numeric
@attribute '0.45 word_freq_table+0.386word_freq_make-0.315word_freq_all-0.283word_freq_report+0.227word_freq_000...' numeric
@attribute 0.335word_freq_email-0.323word_freq_over-0.269word_freq_mail+0.255word_freq_re+0.249word_freq_data... numeric
@attribute 0.412char_freq_#-0.306word_freq_free+0.261word_freq_data+0.254word_freq_pm+0.218word_freq_all... numeric
@attribute 0.433word_freq_internet-0.293word_freq_order-0.28word_freq_remove-0.279word_freq_mail+0.237char_freq_[... numeric
@attribute -0.493word_freq_credit+0.312word_freq_data-0.297char_freq_(-0.285char_freq_[+0.276word_freq_internet... numeric
@attribute -0.363word_freq_credit-0.3word_freq_free+0.288word_freq_order+0.283word_freq_business-0.282word_freq_data... numeric
@attribute 0.397char_freq_!+0.331word_freq_over-0.318word_freq_000+0.279word_freq_receive-0.268word_freq_credit... numeric
@attribute 0.367word_freq_our-0.297word_freq_order-0.262word_freq_all+0.253word_freq_report+0.244word_freq_email... numeric
@attribute 0.359word_freq_remove-0.343word_freq_our+0.297word_freq_over+0.258capital_run_length_average+0.244word_freq_report... numeric
@attribute -0.431word_freq_pm-0.303word_freq_order-0.285word_freq_free+0.282word_freq_original-0.269word_freq_people... numeric
@attribute -0.518word_freq_will+0.336word_freq_make-0.27word_freq_parts-0.24word_freq_pm-0.209word_freq_cs... numeric
@attribute -0.431word_freq_all-0.265word_freq_business+0.264char_freq_$-0.252word_freq_re+0.242word_freq_pm... numeric
@attribute 0.338word_freq_your+0.272word_freq_george-0.266word_freq_make+0.221word_freq_cs+0.215char_freq_$... numeric
@attribute '-0.431word_freq_original+0.275word_freq_receive-0.255char_freq_$+0.249word_freq_pm+0.23 word_freq_edu...' numeric
@attribute '-0.326word_freq_business+0.29 word_freq_cs-0.284word_freq_email-0.275word_freq_edu+0.234word_freq_85...' numeric
@attribute '-0.433word_freq_business-0.343word_freq_you+0.308word_freq_our+0.27 char_freq_$+0.253word_freq_re...' numeric
@attribute '0.437capital_run_length_total+0.338word_freq_85-0.24word_freq_addresses+0.24 word_freq_business-0.225word_freq_your...' numeric
@attribute '0.389capital_run_length_total-0.274word_freq_85+0.242word_freq_mail-0.241word_freq_650+0.24 word_freq_cs...' numeric
@attribute 0.441word_freq_you-0.361word_freq_receive-0.294word_freq_money+0.276word_freq_make+0.265word_freq_hpl... numeric
@attribute -0.543word_freq_edu+0.383word_freq_cs+0.378word_freq_1999-0.302word_freq_original+0.204word_freq_000... numeric
@attribute 0.551word_freq_your-0.391word_freq_you+0.262word_freq_font-0.26word_freq_receive-0.246char_freq_;... numeric
@attribute 0.508word_freq_font-0.459char_freq_;+0.335word_freq_hpl-0.309word_freq_85-0.202word_freq_your... numeric
@attribute -0.547word_freq_000+0.532word_freq_addresses+0.289char_freq_$-0.215word_freq_order-0.183word_freq_email... numeric
@attribute Class {1,0}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,-0.344422,1.530567,0.10114,-0.647664,0.359866,0.437747,0.387107,0.452162,-0.083282,0.234413,-0.111542,-0.024251,0.09666,-0.032622,0.006495,0.028263,0.012967,-0.004943,-0.034664,0.042584,0.16071,0.030594,-0.125503,0.045718,0.024454,0.00266,-0.022256,0.036293,-0.014219,0.018883,-0.056361,-0.053939,-0.275832,0.026054,-0.119993,0.26341,0.370201,-0.620178,-0.107278,0.204358,0.088095,-0.237142,0.297607,-0.729241,0.245289,-0.026045,-0.023605,0.170007,0,cluster0
1,-0.579612,0.048571,0.75182,-0.197661,-0.483549,-0.860513,0.398913,0.480088,0.297419,0.61275,0.281299,0.547881,0.384433,0.080884,-0.364516,-0.00896,-0.195987,0.191854,-0.020781,-0.230337,0.31246,0.123555,-0.502083,-0.376062,0.223195,0.069987,0.060235,0.092193,0.6346,0.014307,0.199225,0.143138,-0.138305,-0.380225,0.300252,-0.511757,-0.07661,0.035105,0.180463,-0.16038,-0.222631,0.174109,-0.16349,-0.934179,-0.04048,-0.137702,-0.081394,0.192123,0,cluster0
2,-0.668899,0.456444,0.721197,-0.157634,0.449768,0.438887,0.153909,-0.747762,0.581957,-0.092821,0.075203,0.189864,0.02604,0.089556,-0.07323,0.064547,0.14898,0.057299,0.176337,-0.006678,0.303013,0.245427,-0.110239,0.200344,-0.128336,-0.041924,-0.016583,0.419849,0.240861,-0.085807,-0.074909,0.45148,-0.130002,-0.142315,-0.100458,0.462052,0.036771,-0.495242,-0.04368,0.406221,-0.438874,-0.554694,0.018236,0.212034,0.254209,0.062751,-0.021793,0.192532,0,cluster0
3,-0.303067,1.01342,-1.357706,-0.524009,0.07735,0.431023,0.421453,0.753931,0.311907,0.414226,-0.447677,-0.747741,-0.783757,1.071495,0.228844,-0.618974,1.046238,0.580004,-0.089055,-0.313934,0.04302,0.644613,0.253555,0.938667,0.230135,0.011343,-0.598396,-0.762861,0.728487,-0.793283,0.664159,0.376789,-0.432461,-0.662333,-0.737135,-0.413582,0.153248,-0.946911,0.762632,0.225547,0.048883,0.77392,1.197306,-0.156499,0.00924,0.153021,-0.56396,0.185515,0,cluster0
4,1.083166,-0.322251,-0.129413,0.158964,-1.310564,-0.45281,-0.331843,0.529606,1.095978,1.020214,2.58711,1.085416,2.9919,-0.437803,-0.913434,-2.134628,1.566064,0.694316,-0.385385,-0.365713,-1.62295,1.411897,0.681948,-3.292723,-0.297606,-1.637728,-1.836936,0.788803,-1.921996,-2.04745,-0.198145,0.150327,2.063668,1.549017,-0.780758,-0.300112,0.213539,-0.658048,-1.852411,-0.427344,1.065972,1.896994,-0.704228,-0.183671,-0.450348,1.332806,-0.698309,-0.360101,0,cluster0
5,-1.472191,-2.877366,0.270931,0.658098,1.180676,2.45773,-2.621276,0.318068,-0.926708,-0.009348,-1.03886,0.804401,-0.513592,0.862356,-1.001087,1.592969,-0.302441,0.593314,-0.263747,0.426614,0.578617,-0.482269,-1.009689,0.665577,2.605162,2.187374,-0.996798,-0.065752,-0.325552,0.384371,-0.564173,-0.711276,0.333487,2.224739,0.411221,0.406477,0.248471,0.150329,0.266196,-0.741618,-0.222639,0.466711,0.358247,0.206137,0.847566,0.289298,-0.448781,-2.908284,1,cluster2
6,-1.547533,-3.048098,-2.413978,-3.444675,2.56904,-5.33774,-4.230355,1.085731,1.540666,2.122075,-1.056447,-0.590327,0.268762,1.364239,0.831083,0.970229,0.489327,0.317149,0.483513,0.709494,-1.263981,-0.909671,-0.155,2.290978,1.11416,0.569586,1.595399,1.249537,1.532868,-2.755734,-2.046997,-1.343194,-0.923304,-0.44534,-0.130508,-0.315351,0.813921,-0.970594,0.182323,1.04483,0.979279,2.348561,-0.27203,-0.194956,-1.559661,1.70922,4.934121,0.152368,1,cluster2
7,-0.468714,1.706254,0.187457,-1.169576,1.101337,0.918242,0.889991,1.595876,-0.598803,-0.099291,0.607175,-2.165196,3.577312,-2.174053,2.183738,-4.706541,1.006895,-1.432738,1.810205,-0.403582,5.111579,-3.583776,0.372473,0.339533,2.696109,1.91541,-0.414694,0.307591,0.810586,-0.156727,-0.251673,-0.468072,0.40252,-0.301028,-0.082804,-0.879536,-0.859217,1.295121,0.578616,0.26289,-0.673532,0.483581,-0.959991,0.866483,-0.277322,-0.051424,0.050555,0.01258,0,cluster0
8,-0.611881,0.508545,0.809497,0.600012,-0.112539,-0.949159,0.285994,-0.392654,0.311372,-0.114793,-0.37259,-0.607117,0.485318,-0.261232,0.085578,0.085597,0.027452,0.472267,0.186345,-0.127402,-1.039852,0.017168,-0.624203,-0.08547,0.151872,0.259947,0.675114,-0.738586,0.46925,-0.525288,-1.351282,0.921786,-1.249488,0.074145,0.238878,0.382875,0.506176,0.576502,1.045766,0.171827,-0.265106,0.883414,-1.00043,-0.260493,1.248544,-1.537527,0.749212,0.877143,0,cluster0
9,-0.225174,1.676065,-0.858668,1.43265,0.301612,-0.465726,0.151438,-0.544094,-0.373786,0.004051,-0.208859,-0.205378,0.626793,-0.280999,-0.273077,-0.247821,-0.245332,0.015782,0.030243,-0.113298,-0.17648,-0.19457,-0.01019,-0.589561,-0.202458,-0.471473,-0.231795,0.658226,-0.902933,-0.226676,-0.177171,-0.20138,-0.5011,0.394952,-0.580083,0.507244,1.145024,-0.550141,1.287209,-0.663628,-0.032781,-0.00475,0.059241,0.305359,-0.085554,0.023921,-0.023044,0.237754,0,cluster0
10,-0.565241,0.398143,0.47802,0.72409,-0.283011,0.16024,-0.093734,-1.485091,1.444597,0.030126,0.148582,0.413288,0.568091,-0.096521,-0.852672,-0.143645,0.078618,0.015328,-0.020277,-0.142234,0.057163,0.076103,-0.581892,0.032101,-0.442076,0.268241,0.186516,0.221417,0.212693,-0.196859,-0.280544,0.773083,0.299222,-0.787294,-0.302915,-0.330904,-0.387666,-0.909419,-0.539752,-0.288884,0.297143,-0.149062,-1.113087,1.007869,0.761468,0.472422,0.157048,0.291879,0,cluster0
