timestep, accuracy, iterations
0, 0.032, 10
1, 0.044, 10
2, 0.051, 10
3, 0.039, 10
4, 0.028, 10
5, 0.026, 10
6, 0.044, 10
7, 0.043, 10
8, 0.032, 10
9, 0.039, 10
10, 0.052, 10
11, 0.042, 10
12, 0.048, 10
13, 0.034, 10
14, 0.041, 10
15, 0.033, 10
16, 0.044, 10
17, 0.049, 10
18, 0.048, 10
19, 0.041, 10
20, 0.051, 10
21, 0.045, 10
22, 0.058, 10
23, 0.037, 10
24, 0.037, 10
25, 0.042, 10
26, 0.037, 10
27, 0.052, 10
28, 0.036, 10
29, 0.042, 10
30, 0.047, 10
31, 0.036, 10
32, 0.043, 10
33, 0.05, 10
34, 0.034, 10
35, 0.06, 10
36, 0.046, 10
37, 0.051, 10
38, 0.05, 10
39, 0.035, 10
40, 0.041, 10
41, 0.038, 10
42, 0.047, 10
43, 0.026, 10
44, 0.039, 10
45, 0.047, 10
46, 0.04, 10
47, 0.042, 10
48, 0.036, 10
49, 0.04, 10
50, 0.043, 10
51, 0.042, 10
52, 0.038, 10
53, 0.049, 10
54, 0.043, 10
55, 0.042, 10
56, 0.039, 10
57, 0.047, 10
58, 0.035, 10
59, 0.048, 10
60, 0.037, 10
61, 0.037, 10
62, 0.048, 10
63, 0.033, 10
64, 0.039, 10
65, 0.042, 10
66, 0.046, 10
67, 0.038, 10
68, 0.045, 10
69, 0.039, 10
70, 0.031, 10
71, 0.045, 10
72, 0.049, 10
73, 0.048, 10
74, 0.042, 10
75, 0.046, 10
76, 0.049, 10
77, 0.037, 10
78, 0.033, 10
79, 0.03, 10
80, 0.053, 10
81, 0.044, 10
82, 0.055, 10
83, 0.046, 10
84, 0.037, 10
85, 0.042, 10
86, 0.047, 10
87, 0.045, 10
88, 0.043, 10
89, 0.045, 10
90, 0.045, 10
91, 0.035, 10
92, 0.035, 10
93, 0.042, 10
94, 0.042, 10
95, 0.045, 10
96, 0.037, 10
97, 0.045, 10
98, 0.053, 10
99, 0.053, 10
100, 0.877, 100
101, 0.902, 100
102, 0.88, 100
103, 0.892, 100
104, 0.892, 100
105, 0.9, 100
106, 0.895, 100
107, 0.895, 100
108, 0.881, 100
109, 0.9, 100
110, 0.875, 100
111, 0.879, 100
112, 0.891, 100
113, 0.91, 100
114, 0.9, 100
115, 0.899, 100
116, 0.901, 100
117, 0.882, 100
118, 0.903, 100
119, 0.882, 100
120, 0.885, 100
121, 0.899, 100
122, 0.896, 100
123, 0.897, 100
124, 0.903, 100
125, 0.889, 100
126, 0.871, 100
127, 0.904, 100
128, 0.894, 100
129, 0.917, 100
130, 0.901, 100
131, 0.882, 100
132, 0.882, 100
133, 0.91, 100
134, 0.902, 100
135, 0.887, 100
136, 0.867, 100
137, 0.885, 100
138, 0.889, 100
139, 0.892, 100
140, 0.896, 100
141, 0.892, 100
142, 0.887, 100
143, 0.885, 100
144, 0.881, 100
145, 0.882, 100
146, 0.885, 100
147, 0.893, 100
148, 0.885, 100
149, 0.903, 100
150, 0.889, 100
151, 0.895, 100
152, 0.897, 100
153, 0.895, 100
154, 0.877, 100
155, 0.89, 100
156, 0.902, 100
157, 0.894, 100
158, 0.891, 100
159, 0.888, 100
160, 0.887, 100
161, 0.91, 100
162, 0.884, 100
163, 0.894, 100
164, 0.885, 100
165, 0.902, 100
166, 0.885, 100
167, 0.894, 100
168, 0.886, 100
169, 0.898, 100
170, 0.885, 100
171, 0.89, 100
172, 0.893, 100
173, 0.895, 100
174, 0.886, 100
175, 0.904, 100
176, 0.893, 100
177, 0.905, 100
178, 0.909, 100
179, 0.887, 100
180, 0.881, 100
181, 0.885, 100
182, 0.914, 100
183, 0.89, 100
184, 0.883, 100
185, 0.895, 100
186, 0.894, 100
187, 0.886, 100
188, 0.879, 100
189, 0.888, 100
190, 0.892, 100
191, 0.887, 100
192, 0.897, 100
193, 0.908, 100
194, 0.908, 100
195, 0.893, 100
196, 0.894, 100
197, 0.888, 100
198, 0.887, 100
199, 0.898, 100
200, 0.883, 1000
201, 0.881, 1000
202, 0.895, 1000
203, 0.894, 1000
204, 0.89, 1000
205, 0.881, 1000
206, 0.881, 1000
207, 0.885, 1000
208, 0.9, 1000
209, 0.894, 1000
210, 0.895, 1000
211, 0.864, 1000
212, 0.886, 1000
213, 0.903, 1000
214, 0.878, 1000
215, 0.882, 1000
216, 0.897, 1000
217, 0.876, 1000
218, 0.889, 1000
219, 0.895, 1000
220, 0.895, 1000
221, 0.894, 1000
222, 0.885, 1000
223, 0.868, 1000
224, 0.86, 1000
225, 0.895, 1000
226, 0.886, 1000
227, 0.886, 1000
228, 0.886, 1000
229, 0.887, 1000
230, 0.887, 1000
231, 0.896, 1000
232, 0.879, 1000
233, 0.885, 1000
234, 0.893, 1000
235, 0.892, 1000
236, 0.901, 1000
237, 0.885, 1000
238, 0.888, 1000
239, 0.877, 1000
240, 0.895, 1000
241, 0.888, 1000
242, 0.889, 1000
243, 0.882, 1000
244, 0.872, 1000
245, 0.908, 1000
246, 0.885, 1000
247, 0.887, 1000
248, 0.89, 1000
249, 0.87, 1000
250, 0.896, 1000
251, 0.873, 1000
252, 0.884, 1000
253, 0.879, 1000
254, 0.875, 1000
255, 0.897, 1000
256, 0.873, 1000
257, 0.871, 1000
258, 0.876, 1000
