timestep, accuracy, iterations
0, 0.447, 10
1, 0.434, 10
2, 0.437, 10
3, 0.445, 10
4, 0.442, 10
5, 0.47, 10
6, 0.449, 10
7, 0.428, 10
8, 0.448, 10
9, 0.456, 10
10, 0.426, 10
11, 0.455, 10
12, 0.454, 10
13, 0.437, 10
14, 0.447, 10
15, 0.433, 10
16, 0.447, 10
17, 0.466, 10
18, 0.42, 10
19, 0.437, 10
20, 0.443, 10
21, 0.442, 10
22, 0.43, 10
23, 0.475, 10
24, 0.414, 10
25, 0.44, 10
26, 0.429, 10
27, 0.459, 10
28, 0.431, 10
29, 0.442, 10
30, 0.45, 10
31, 0.471, 10
32, 0.44, 10
33, 0.43, 10
34, 0.449, 10
35, 0.435, 10
36, 0.477, 10
37, 0.431, 10
38, 0.448, 10
39, 0.46, 10
40, 0.473, 10
41, 0.454, 10
42, 0.448, 10
43, 0.461, 10
44, 0.461, 10
45, 0.447, 10
46, 0.443, 10
47, 0.438, 10
48, 0.441, 10
49, 0.426, 10
50, 0.445, 10
51, 0.443, 10
52, 0.458, 10
53, 0.454, 10
54, 0.453, 10
55, 0.42, 10
56, 0.469, 10
57, 0.441, 10
58, 0.456, 10
59, 0.435, 10
60, 0.431, 10
61, 0.444, 10
62, 0.448, 10
63, 0.446, 10
64, 0.43, 10
65, 0.433, 10
66, 0.452, 10
67, 0.443, 10
68, 0.438, 10
69, 0.428, 10
70, 0.428, 10
71, 0.424, 10
72, 0.462, 10
73, 0.443, 10
74, 0.433, 10
75, 0.437, 10
76, 0.428, 10
77, 0.432, 10
78, 0.449, 10
79, 0.451, 10
80, 0.459, 10
81, 0.461, 10
82, 0.439, 10
83, 0.439, 10
84, 0.451, 10
85, 0.45, 10
86, 0.444, 10
87, 0.47, 10
88, 0.443, 10
89, 0.458, 10
90, 0.472, 10
91, 0.42, 10
92, 0.444, 10
93, 0.456, 10
94, 0.446, 10
95, 0.443, 10
96, 0.458, 10
97, 0.433, 10
98, 0.472, 10
99, 0.447, 10
100, 0.461, 100
101, 0.457, 100
102, 0.421, 100
103, 0.418, 100
104, 0.448, 100
105, 0.452, 100
106, 0.435, 100
107, 0.426, 100
108, 0.446, 100
109, 0.433, 100
110, 0.457, 100
111, 0.451, 100
112, 0.463, 100
113, 0.435, 100
114, 0.428, 100
115, 0.473, 100
116, 0.441, 100
117, 0.464, 100
118, 0.448, 100
119, 0.458, 100
120, 0.416, 100
121, 0.48, 100
122, 0.425, 100
123, 0.426, 100
124, 0.475, 100
125, 0.463, 100
126, 0.457, 100
127, 0.454, 100
128, 0.458, 100
129, 0.466, 100
130, 0.482, 100
131, 0.452, 100
132, 0.455, 100
133, 0.458, 100
134, 0.455, 100
135, 0.465, 100
136, 0.436, 100
137, 0.459, 100
138, 0.452, 100
139, 0.442, 100
140, 0.426, 100
141, 0.452, 100
142, 0.441, 100
143, 0.476, 100
144, 0.445, 100
145, 0.458, 100
146, 0.457, 100
147, 0.446, 100
148, 0.483, 100
149, 0.432, 100
150, 0.47, 100
151, 0.434, 100
152, 0.454, 100
153, 0.45, 100
154, 0.458, 100
155, 0.433, 100
156, 0.458, 100
157, 0.45, 100
158, 0.438, 100
159, 0.444, 100
160, 0.434, 100
161, 0.458, 100
162, 0.473, 100
163, 0.458, 100
164, 0.447, 100
165, 0.472, 100
166, 0.432, 100
167, 0.415, 100
168, 0.426, 100
169, 0.478, 100
170, 0.467, 100
171, 0.442, 100
172, 0.452, 100
173, 0.436, 100
174, 0.451, 100
175, 0.457, 100
176, 0.433, 100
177, 0.433, 100
178, 0.441, 100
179, 0.45, 100
180, 0.445, 100
181, 0.43, 100
182, 0.45, 100
183, 0.442, 100
184, 0.443, 100
185, 0.428, 100
186, 0.466, 100
187, 0.438, 100
188, 0.453, 100
189, 0.46, 100
190, 0.44, 100
191, 0.449, 100
192, 0.445, 100
193, 0.44, 100
194, 0.474, 100
195, 0.452, 100
196, 0.472, 100
197, 0.468, 100
198, 0.423, 100
199, 0.422, 100
200, 0.476, 1000
201, 0.431, 1000
202, 0.455, 1000
203, 0.432, 1000
204, 0.446, 1000
205, 0.474, 1000
206, 0.433, 1000
207, 0.435, 1000
208, 0.443, 1000
209, 0.456, 1000
210, 0.457, 1000
211, 0.466, 1000
212, 0.448, 1000
213, 0.463, 1000
214, 0.445, 1000
215, 0.434, 1000
216, 0.438, 1000
217, 0.459, 1000
218, 0.429, 1000
219, 0.445, 1000
220, 0.477, 1000
221, 0.447, 1000
222, 0.445, 1000
223, 0.449, 1000
224, 0.488, 1000
225, 0.439, 1000
226, 0.443, 1000
227, 0.47, 1000
228, 0.466, 1000
229, 0.432, 1000
230, 0.467, 1000
231, 0.465, 1000
232, 0.451, 1000
233, 0.475, 1000
234, 0.439, 1000
235, 0.441, 1000
236, 0.438, 1000
237, 0.486, 1000
238, 0.414, 1000
239, 0.454, 1000
240, 0.429, 1000
241, 0.435, 1000
242, 0.441, 1000
243, 0.449, 1000
