[2017-04-18 21:09:13,067] Making new env: FrozenLake-v0
accuracy, i_max_iter, i_k
0.452, 10, 10
0.433, 10, 10
0.452, 10, 10
0.431, 10, 10
0.46, 10, 10
0.449, 10, 10
0.459, 10, 10
0.44, 10, 10
0.444, 10, 10
0.441, 10, 10
0.723, 10, 100
0.754, 10, 100
0.741, 10, 100
0.729, 10, 100
0.719, 10, 100
0.724, 10, 100
0.73, 10, 100
0.744, 10, 100
0.738, 10, 100
0.735, 10, 100
0.757, 10, 1000
0.743, 10, 1000
0.75, 10, 1000
0.742, 10, 1000
0.73, 10, 1000
0.748, 10, 1000
0.721, 10, 1000
0.741, 10, 1000
0.751, 10, 1000
0.763, 10, 1000
0.737, 10, 10000
0.751, 10, 10000
0.75, 10, 10000
0.745, 10, 10000
0.747, 10, 10000
0.738, 10, 10000
0.739, 10, 10000
0.754, 10, 10000
0.751, 10, 10000
0.739, 10, 10000
0.74, 10, 100000
0.766, 10, 100000
0.727, 10, 100000
0.729, 10, 100000
0.743, 10, 100000
0.753, 10, 100000
0.744, 10, 100000
0.758, 10, 100000
0.733, 10, 100000
0.751, 10, 100000
0.737, 10, 1000000
0.731, 10, 1000000
0.764, 10, 1000000
0.75, 10, 1000000
0.735, 10, 1000000
0.739, 10, 1000000
0.734, 10, 1000000
0.735, 10, 1000000
0.744, 10, 1000000
0.743, 10, 1000000
0.767, 10, 10000000
0.726, 10, 10000000
0.739, 10, 10000000
0.732, 10, 10000000
0.72, 10, 10000000
0.757, 10, 10000000
0.756, 10, 10000000
0.74, 10, 10000000
0.734, 10, 10000000
0.73, 10, 10000000
0.425, 10, 10
0.476, 10, 10
0.431, 10, 10
0.455, 10, 10
0.451, 10, 10
0.438, 10, 10
0.455, 10, 10
0.453, 10, 10
0.455, 10, 10
0.444, 10, 10
0.709, 10, 100
0.753, 10, 100
0.743, 10, 100
0.721, 10, 100
0.736, 10, 100
0.74, 10, 100
0.722, 10, 100
0.738, 10, 100
0.751, 10, 100
0.76, 10, 100
0.723, 10, 1000
0.763, 10, 1000
0.72, 10, 1000
0.765, 10, 1000
0.733, 10, 1000
0.713, 10, 1000
0.736, 10, 1000
0.72, 10, 1000
0.737, 10, 1000
0.729, 10, 1000
0.742, 10, 10000
0.737, 10, 10000
0.763, 10, 10000
0.739, 10, 10000
0.742, 10, 10000
0.749, 10, 10000
0.752, 10, 10000
0.732, 10, 10000
0.735, 10, 10000
0.758, 10, 10000
0.735, 10, 100000
0.724, 10, 100000
0.754, 10, 100000
0.754, 10, 100000
0.721, 10, 100000
0.758, 10, 100000
0.747, 10, 100000
0.737, 10, 100000
0.739, 10, 100000
0.761, 10, 100000
0.746, 10, 1000000
0.744, 10, 1000000
0.735, 10, 1000000
0.735, 10, 1000000
0.737, 10, 1000000
0.742, 10, 1000000
0.742, 10, 1000000
0.731, 10, 1000000
0.725, 10, 1000000
0.748, 10, 1000000
0.731, 10, 10000000
0.742, 10, 10000000
0.745, 10, 10000000
0.742, 10, 10000000
0.741, 10, 10000000
0.741, 10, 10000000
0.743, 10, 10000000
0.754, 10, 10000000
0.74, 10, 10000000
0.746, 10, 10000000
0.434, 10, 10
0.433, 10, 10
0.466, 10, 10
0.46, 10, 10
0.451, 10, 10
0.442, 10, 10
0.399, 10, 10
0.454, 10, 10
0.442, 10, 10
0.483, 10, 10
0.73, 10, 100
0.757, 10, 100
