timestep, accuracy, iterations
0, 0.422, 10
1, 0.456, 10
2, 0.434, 10
3, 0.455, 10
4, 0.444, 10
5, 0.461, 10
6, 0.449, 10
7, 0.433, 10
8, 0.429, 10
9, 0.426, 10
10, 0.462, 10
11, 0.446, 10
12, 0.461, 10
13, 0.447, 10
14, 0.426, 10
15, 0.465, 10
16, 0.44, 10
17, 0.419, 10
18, 0.451, 10
19, 0.434, 10
20, 0.407, 10
21, 0.435, 10
22, 0.436, 10
23, 0.466, 10
24, 0.453, 10
25, 0.441, 10
26, 0.436, 10
27, 0.434, 10
28, 0.455, 10
29, 0.414, 10
30, 0.448, 10
31, 0.447, 10
32, 0.45, 10
33, 0.442, 10
34, 0.45, 10
35, 0.445, 10
36, 0.453, 10
37, 0.454, 10
38, 0.434, 10
39, 0.44, 10
40, 0.425, 10
41, 0.455, 10
42, 0.436, 10
43, 0.435, 10
44, 0.453, 10
45, 0.43, 10
46, 0.418, 10
47, 0.432, 10
48, 0.447, 10
49, 0.447, 10
50, 0.438, 10
51, 0.477, 10
52, 0.429, 10
53, 0.451, 10
54, 0.435, 10
55, 0.434, 10
56, 0.466, 10
57, 0.463, 10
58, 0.46, 10
59, 0.432, 10
60, 0.446, 10
61, 0.48, 10
62, 0.421, 10
63, 0.412, 10
64, 0.453, 10
65, 0.447, 10
66, 0.449, 10
67, 0.434, 10
68, 0.42, 10
69, 0.452, 10
70, 0.451, 10
71, 0.455, 10
72, 0.435, 10
73, 0.452, 10
74, 0.464, 10
75, 0.424, 10
76, 0.468, 10
77, 0.451, 10
78, 0.446, 10
79, 0.447, 10
80, 0.438, 10
81, 0.463, 10
82, 0.457, 10
83, 0.458, 10
84, 0.451, 10
85, 0.47, 10
86, 0.445, 10
87, 0.463, 10
88, 0.445, 10
89, 0.474, 10
90, 0.431, 10
91, 0.427, 10
92, 0.439, 10
93, 0.443, 10
94, 0.461, 10
95, 0.416, 10
96, 0.431, 10
97, 0.441, 10
98, 0.432, 10
99, 0.458, 10
100, 0.752, 100
101, 0.742, 100
102, 0.747, 100
103, 0.711, 100
104, 0.728, 100
105, 0.728, 100
106, 0.731, 100
107, 0.724, 100
108, 0.74, 100
109, 0.731, 100
110, 0.73, 100
111, 0.719, 100
112, 0.733, 100
113, 0.712, 100
114, 0.728, 100
115, 0.729, 100
116, 0.738, 100
117, 0.727, 100
118, 0.729, 100
119, 0.715, 100
120, 0.726, 100
121, 0.747, 100
122, 0.736, 100
123, 0.745, 100
124, 0.696, 100
125, 0.737, 100
126, 0.734, 100
127, 0.742, 100
128, 0.75, 100
129, 0.724, 100
130, 0.728, 100
131, 0.736, 100
132, 0.725, 100
133, 0.734, 100
134, 0.727, 100
135, 0.72, 100
136, 0.735, 100
137, 0.719, 100
138, 0.724, 100
139, 0.731, 100
140, 0.746, 100
141, 0.769, 100
142, 0.741, 100
143, 0.744, 100
144, 0.71, 100
145, 0.728, 100
146, 0.724, 100
147, 0.726, 100
148, 0.755, 100
149, 0.749, 100
150, 0.74, 100
151, 0.749, 100
152, 0.739, 100
153, 0.729, 100
154, 0.716, 100
155, 0.706, 100
156, 0.74, 100
157, 0.725, 100
158, 0.73, 100
159, 0.736, 100
160, 0.722, 100
161, 0.743, 100
162, 0.71, 100
163, 0.748, 100
164, 0.739, 100
165, 0.734, 100
166, 0.738, 100
167, 0.703, 100
168, 0.736, 100
169, 0.725, 100
170, 0.737, 100
171, 0.719, 100
172, 0.745, 100
173, 0.758, 100
174, 0.741, 100
175, 0.737, 100
176, 0.736, 100
177, 0.729, 100
178, 0.74, 100
179, 0.738, 100
180, 0.747, 100
181, 0.704, 100
182, 0.73, 100
183, 0.719, 100
184, 0.711, 100
185, 0.735, 100
186, 0.75, 100
187, 0.731, 100
188, 0.733, 100
189, 0.75, 100
190, 0.718, 100
191, 0.724, 100
192, 0.733, 100
193, 0.738, 100
194, 0.744, 100
195, 0.716, 100
196, 0.726, 100
197, 0.743, 100
198, 0.73, 100
199, 0.749, 100
200, 0.711, 1000
201, 0.712, 1000
202, 0.741, 1000
203, 0.724, 1000
204, 0.743, 1000
205, 0.732, 1000
206, 0.742, 1000
207, 0.727, 1000
208, 0.746, 1000
209, 0.735, 1000
210, 0.709, 1000
211, 0.731, 1000
212, 0.746, 1000
213, 0.716, 1000
214, 0.7, 1000
215, 0.711, 1000
216, 0.714, 1000
217, 0.741, 1000
218, 0.726, 1000
219, 0.745, 1000
220, 0.74, 1000
